,Cancellation Policy,Neighbourhood_Charlottenburg,Neighbourhood_Friedrichshain,Neighbourhood_Kreuzberg,Neighbourhood_Mitte,Neighbourhood_Moabit,Neighbourhood_Neukölln,Neighbourhood_Pankow,Neighbourhood_Prenzlauer Berg,Neighbourhood_Schöneberg,Neighbourhood_Tempelhof,Neighbourhood_Wedding,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Room Type_Private
225,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,104.0,300.0,25.0,1,30,4,1125,356,26,1
230,2.0,0,1,0,0,0,0,0,0,0,0,0,3,10.0,1.0,40.0,85.0,10.0,1,10,1,1125,0,1,1
264,1.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,73.0,200.0,20.0,1,0,3,1125,34,11,1
265,2.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,2.0,60.0,500.0,25.0,2,25,60,500,49,7,1
270,1.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,42.0,300.0,50.0,1,0,4,120,0,1,1
273,2.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,1.0,88.0,400.0,29.0,2,20,1,1125,297,12,1
274,2.0,0,0,0,0,0,0,0,0,0,0,0,5,10.0,3.0,130.0,800.0,40.0,4,50,2,1125,159,7,1
275,2.0,0,0,0,0,0,0,0,0,0,0,0,3,10.0,2.0,60.0,200.0,30.0,1,0,2,11,0,3,1
283,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,700.0,50.0,1,0,62,1125,245,10,1
286,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,0.0,60.0,500.0,50.0,2,0,4,180,281,0,1
298,0.0,0,0,0,1,0,0,0,0,0,0,0,2,15.0,1.0,45.0,99.0,20.0,1,15,2,30,232,81,1
299,2.0,0,0,0,1,0,0,0,0,0,0,0,5,10.0,1.0,119.0,95.0,40.0,1,0,1,1125,320,6,1
302,2.0,0,0,0,1,0,0,0,0,0,0,0,3,15.0,1.0,100.0,400.0,50.0,2,30,4,1125,316,57,1
308,2.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,1.0,100.0,500.0,50.0,2,10,2,1125,264,7,1
311,2.0,0,0,0,1,0,0,0,0,0,0,0,4,15.0,2.0,191.0,700.0,60.0,4,15,2,1125,136,12,1
312,2.0,0,0,0,1,0,0,0,0,0,0,0,6,10.0,2.0,125.0,500.0,85.0,2,25,2,1125,311,46,1
318,2.0,0,0,1,0,0,0,0,0,0,0,0,5,10.0,1.0,90.0,500.0,50.0,2,20,4,365,247,46,1
324,0.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,2.0,185.0,250.0,40.0,1,0,3,1125,111,0,1
326,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,2.0,180.0,300.0,59.0,2,15,1,5,70,49,1
327,2.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,1.0,99.0,200.0,49.0,2,25,2,13,339,62,1
333,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,0.0,89.0,150.0,23.0,1,0,2,1125,129,33,1
334,2.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,2.0,69.0,300.0,19.0,1,10,4,14,10,1,1
342,2.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,1.0,80.0,150.0,25.0,2,25,3,1125,338,20,1
343,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,40.0,100.0,20.0,1,20,3,30,318,123,1
352,1.0,0,0,0,0,1,0,0,0,0,0,0,4,10.0,1.0,47.0,100.0,45.0,3,50,3,1125,309,30,1
358,0.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,79.0,200.0,50.0,1,0,1,1125,0,0,1
362,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,2.0,130.0,100.0,55.0,1,0,2,15,320,35,1
365,0.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,50.0,150.0,15.0,1,0,2,1125,318,4,1
369,1.0,0,0,0,0,1,0,0,0,0,0,0,2,10.0,1.0,28.0,150.0,15.0,1,15,2,1125,68,1,1
370,1.0,0,0,0,0,1,0,0,0,0,0,0,2,10.0,1.0,59.0,100.0,35.0,2,15,3,365,127,30,1
371,2.0,0,0,0,0,1,0,0,0,0,0,0,4,10.0,1.0,70.0,448.0,18.0,2,15,10,15,0,1,1
373,1.0,0,0,0,0,1,0,0,0,0,0,0,9,10.0,5.0,170.0,100.0,70.0,7,10,60,365,253,78,1
379,1.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,63.0,100.0,12.0,1,0,1,1125,13,32,1
384,2.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,2.0,85.0,200.0,30.0,2,15,4,12,40,24,1
389,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,33.0,100.0,10.0,1,9,1,1125,0,6,1
396,0.0,0,0,1,0,0,0,0,0,0,0,0,3,10.0,1.0,70.0,100.0,25.0,2,20,2,1125,15,20,1
398,0.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,1.0,60.0,100.0,20.0,1,0,1,1125,0,1,1
407,0.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,60.0,300.0,30.0,1,0,5,1125,8,11,1
414,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,150.0,40.0,1,10,2,14,277,43,1
418,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,0.0,45.0,300.0,30.0,1,0,5,1125,22,0,1
420,2.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,1.0,50.0,95.0,40.0,2,20,1,365,322,96,1
421,0.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,2.0,140.0,300.0,0.0,2,30,3,1125,356,0,1
423,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,30.0,300.0,40.0,1,10,1,1125,0,11,1
429,0.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,2.0,35.0,400.0,30.0,1,25,1,1125,254,7,1
435,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,0.0,40.0,100.0,25.0,1,15,3,21,97,54,1
443,2.0,0,0,0,0,1,0,0,0,0,0,0,4,10.0,1.0,89.0,200.0,25.0,1,0,6,1125,305,12,1
444,0.0,0,0,0,0,1,0,0,0,0,0,0,2,10.0,1.0,60.0,100.0,15.0,1,0,1,1125,0,2,1
453,2.0,0,0,0,0,0,0,1,0,0,0,0,2,10.0,1.0,39.0,99.0,19.0,1,22,2,1125,364,1,1
458,2.0,0,0,0,0,0,0,1,0,0,0,0,1,10.0,1.0,28.0,500.0,30.0,1,15,2,40,364,1,1
460,0.0,0,0,0,0,0,0,1,0,0,0,0,4,10.0,3.0,85.0,150.0,35.0,4,28,2,1125,0,10,1
461,0.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,50.0,100.0,25.0,1,0,5,13,0,3,1
463,2.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,55.0,250.0,30.0,1,0,10,16,199,18,1
464,1.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,38.0,120.0,20.0,1,15,2,15,0,2,1
471,1.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,1.0,49.0,100.0,20.0,1,10,6,90,210,20,1
478,1.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,75.0,150.0,30.0,2,45,31,1125,0,40,1
485,2.0,0,0,0,0,0,0,0,1,0,0,0,5,10.0,2.0,120.0,100.0,25.0,2,30,1,1125,291,30,1
487,2.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,1.0,66.0,100.0,35.0,2,22,1,1125,362,4,1
496,2.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,2.0,77.0,200.0,40.0,4,0,2,30,26,43,1
