,Cancellation Policy,Neighbourhood_Charlottenburg,Neighbourhood_Friedrichshain,Neighbourhood_Kreuzberg,Neighbourhood_Mitte,Neighbourhood_Moabit,Neighbourhood_Neukölln,Neighbourhood_Pankow,Neighbourhood_Prenzlauer Berg,Neighbourhood_Schöneberg,Neighbourhood_Tempelhof,Neighbourhood_Wedding,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Room Type_Private
5876,0.0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,95.0,500.0,50.0,1,0,3,30,78,5,1
5879,1.0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,40.0,400.0,20.0,1,10,3,1125,74,35,1
5880,2.0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,250.0,40.0,1,50,1,1125,365,0,1
5888,2.0,0,0,0,0,0,0,0,1,0,0,0,8,20.0,4.0,145.0,200.0,55.0,2,10,3,1125,120,41,1
5895,1.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,1.0,68.0,250.0,25.0,3,10,2,1125,0,6,1
5897,1.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,1.0,85.0,100.0,60.0,1,20,1,60,17,14,1
5898,0.0,0,0,0,0,0,0,0,1,0,0,0,5,15.0,2.0,95.0,200.0,50.0,1,0,3,21,0,2,1
5905,2.0,0,0,0,0,0,0,0,1,0,0,0,4,15.0,2.0,195.0,200.0,80.0,2,0,3,1125,93,4,1
5906,1.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,1.0,63.0,195.0,39.0,2,15,3,1125,271,159,1
5918,2.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,25.0,80.0,10.0,1,5,4,1125,97,14,1
5919,1.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,1.0,33.0,150.0,10.0,1,16,2,14,0,20,1
5921,0.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,75.0,400.0,50.0,2,10,1,1125,0,3,1
5922,1.0,0,0,0,0,0,0,0,1,0,0,0,4,20.0,1.0,105.0,199.0,55.0,2,15,6,18,209,3,1
5927,0.0,1,0,0,0,0,0,0,0,0,0,0,1,10.0,1.0,35.0,400.0,20.0,1,20,28,28,50,3,1
5929,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,55.0,300.0,45.0,2,15,4,1125,3,4,1
5933,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,55.0,100.0,30.0,1,10,5,1125,127,7,1
5935,2.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,2.0,98.0,300.0,30.0,1,0,4,1125,22,5,1
5936,1.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,24.0,150.0,10.0,1,0,3,10,0,0,1
5945,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,25.0,150.0,10.0,1,13,1,1125,0,7,1
5951,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,50.0,250.0,25.0,1,20,2,1125,38,20,1
5965,1.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,2.0,200.0,200.0,50.0,1,0,2,1125,364,0,1
5972,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,90.0,400.0,40.0,2,20,4,21,12,42,1
5975,2.0,0,0,0,1,0,0,0,0,0,0,0,5,10.0,2.0,130.0,200.0,55.0,2,11,1,365,11,106,1
5976,2.0,0,0,0,1,0,0,0,0,0,0,0,2,15.0,1.0,105.0,400.0,60.0,1,10,1,60,341,6,1
5980,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,45.0,150.0,20.0,1,15,1,180,40,16,1
5981,2.0,0,0,0,1,0,0,0,0,0,0,0,4,20.0,2.0,98.0,500.0,50.0,2,20,7,28,0,4,1
5984,0.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,0.0,45.0,300.0,50.0,2,15,3,1125,254,24,1
5986,0.0,0,0,0,1,0,0,0,0,0,0,0,1,10.0,1.0,35.0,100.0,15.0,1,10,1,1125,280,6,1
5987,1.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,42.0,150.0,35.0,1,55,2,7,80,24,1
5989,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,45.0,150.0,35.0,2,15,7,1125,1,21,1
5995,2.0,0,0,0,1,0,0,0,0,0,0,0,6,10.0,1.0,95.0,200.0,65.0,2,15,2,1125,302,15,1
5998,2.0,0,0,0,1,0,0,0,0,0,0,0,8,10.0,3.0,70.0,100.0,35.0,2,30,1,1125,332,20,1
6000,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,2.0,89.0,150.0,39.0,1,18,2,1125,326,12,1
6001,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,2.0,89.0,300.0,30.0,1,0,1,1125,0,10,1
6002,1.0,0,0,0,1,0,0,0,0,0,0,0,2,15.0,1.0,115.0,250.0,35.0,1,0,19,90,249,5,1
6005,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,132.0,300.0,60.0,1,0,7,1125,126,25,1
6007,2.0,0,0,0,1,0,0,0,0,0,0,0,1,10.0,1.0,29.0,290.0,0.0,1,0,6,16,81,211,1
6013,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,1.0,70.0,250.0,25.0,2,10,3,316,16,21,1
6018,0.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,3.0,120.0,200.0,40.0,3,20,1,1125,0,2,1
6031,1.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,1.0,75.0,85.0,20.0,2,20,1,365,254,67,1
6032,1.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,65.0,128.0,20.0,2,0,4,60,1,2,1
6045,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,40.0,100.0,20.0,1,0,14,14,15,0,1
6049,1.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,2.0,95.0,100.0,50.0,2,30,5,1125,99,36,1
6050,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,40.0,100.0,100.0,1,0,30,1125,260,0,1
6053,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,0.0,90.0,200.0,30.0,1,0,3,60,116,4,1
6057,1.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,1.0,49.0,400.0,26.0,1,22,1,120,300,235,1
6058,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,2.0,169.0,300.0,60.0,2,0,2,24,0,6,1
6064,2.0,0,1,0,0,0,0,0,0,0,0,0,4,20.0,3.0,70.0,500.0,40.0,4,0,7,1125,0,0,1
6066,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,60.0,250.0,15.0,1,5,3,15,89,8,1
6071,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,0.0,52.0,150.0,15.0,1,15,5,10,0,5,1
6072,1.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,2.0,29.0,500.0,50.0,2,8,12,365,255,2,1
6074,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,100.0,30.0,1,0,2,14,319,16,1
6079,2.0,0,0,0,0,0,0,0,0,0,0,1,3,10.0,1.0,30.0,200.0,35.0,2,10,64,1000,242,11,1
6082,2.0,0,0,0,0,0,0,0,0,0,0,1,3,10.0,1.0,46.0,200.0,10.0,1,10,1,365,197,9,1
6084,1.0,0,0,0,0,0,0,0,0,0,0,1,4,10.0,2.0,45.0,200.0,30.0,2,10,2,1125,0,5,1
6090,0.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,24.0,94.0,10.0,1,5,6,63,258,18,1
6091,0.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,35.0,100.0,5.0,2,10,2,1125,0,0,1
6092,2.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,40.0,200.0,35.0,1,0,10,1125,264,19,1
6096,1.0,0,0,0,0,1,0,0,0,0,0,0,2,15.0,1.0,59.0,100.0,10.0,2,10,1,1125,155,0,1
6098,0.0,0,0,0,0,1,0,0,0,0,0,0,3,15.0,1.0,100.0,150.0,30.0,2,30,2,1125,0,3,1
6099,1.0,0,0,0,0,1,0,0,0,0,0,0,3,10.0,1.0,49.0,200.0,39.0,2,15,3,365,208,68,1
6105,2.0,0,0,0,0,1,0,0,0,0,0,0,2,10.0,1.0,39.0,200.0,10.0,1,0,3,730,127,2,1
6107,1.0,0,0,0,0,0,0,0,0,0,0,1,4,10.0,2.0,80.0,500.0,20.0,3,5,3,5,1,8,1
6114,1.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,39.0,200.0,20.0,1,0,1,1125,0,3,1
6127,0.0,0,0,0,0,1,0,0,0,0,0,0,4,10.0,1.0,28.0,85.0,12.0,1,14,1,1125,362,3,1
6130,2.0,0,0,0,0,1,0,0,0,0,0,0,2,10.0,1.0,58.0,250.0,20.0,1,0,30,1125,280,4,1
6137,1.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,19.0,100.0,5.0,1,11,1,1125,1,8,1
6138,0.0,0,0,0,0,0,0,0,0,0,1,0,1,10.0,1.0,22.0,250.0,10.0,1,0,5,10,67,4,1
6145,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,60.0,200.0,16.0,1,6,1,1125,23,43,1
6155,2.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,64.0,250.0,45.0,1,10,3,30,44,10,1
6180,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,0.0,49.0,100.0,40.0,1,0,2,28,184,132,1
6183,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,72.0,500.0,80.0,1,20,3,1125,21,39,1
6187,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,100.0,10.0,1,25,2,1125,0,0,1
6192,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,64.0,150.0,20.0,1,0,14,1125,0,4,1
6195,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,37.0,500.0,30.0,1,0,4,14,0,1,1
6198,0.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,62.0,250.0,30.0,1,0,2,1125,3,6,1
6215,2.0,0,0,0,0,0,0,1,0,0,0,0,1,10.0,1.0,30.0,200.0,25.0,1,0,2,1125,84,6,1
6225,0.0,0,0,0,0,0,0,1,0,0,0,0,2,10.0,1.0,22.0,100.0,10.0,1,0,2,5,0,1,1
6226,2.0,0,0,0,0,0,0,1,0,0,0,0,2,10.0,1.0,39.0,500.0,30.0,2,10,10,60,0,0,1
6231,0.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,44.0,200.0,30.0,1,0,2,1125,79,9,1
6232,0.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,1.0,90.0,250.0,40.0,1,30,2,1125,236,1,1
6235,0.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,39.0,200.0,15.0,1,20,1,1125,280,0,1
6237,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,54.0,100.0,18.0,1,0,60,80,0,7,1
6240,1.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,1.0,50.0,100.0,15.0,2,10,2,1125,1,5,1
6243,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,70.0,600.0,20.0,2,15,2,1125,8,21,1
6247,2.0,0,0,1,0,0,0,0,0,0,0,0,3,10.0,1.0,120.0,200.0,30.0,1,10,2,21,301,16,1
6250,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,31.0,500.0,100.0,1,5,85,1125,249,173,1
6252,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,45.0,200.0,40.0,2,30,3,30,326,8,1
6253,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,55.0,100.0,20.0,1,15,2,60,85,1,1
6261,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,30.0,100.0,10.0,1,10,2,14,361,58,1
6272,2.0,0,0,1,0,0,0,0,0,0,0,0,6,20.0,3.0,296.0,500.0,88.0,4,59,1,1125,62,5,1
6275,0.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,1.0,120.0,200.0,50.0,4,0,5,1125,358,0,1
6277,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,200.0,30.0,1,10,2,1125,0,16,1
6278,0.0,0,0,1,0,0,0,0,0,0,0,0,7,20.0,3.0,100.0,300.0,60.0,2,20,4,21,0,2,1
6279,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,37.0,100.0,20.0,1,10,2,31,97,0,1
6292,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,39.0,75.0,30.0,1,15,4,21,0,10,1
6293,0.0,0,0,1,0,0,0,0,0,0,0,0,6,20.0,3.0,280.0,500.0,0.0,4,30,3,1125,339,1,1
6295,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,350.0,30.0,2,5,3,730,127,1,1
6296,0.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,0.0,25.0,150.0,30.0,1,10,14,1125,0,5,1
6303,1.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,2.0,95.0,150.0,25.0,2,25,3,1125,0,16,1
6305,1.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,70.0,100.0,40.0,1,20,3,30,83,48,1
6317,1.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,2.0,75.0,300.0,40.0,1,0,7,21,0,2,1
6339,1.0,0,0,0,0,0,0,0,0,1,0,0,1,10.0,1.0,38.0,100.0,10.0,1,0,5,1125,0,1,1
6362,2.0,0,0,0,0,0,1,0,0,0,0,0,6,20.0,3.0,70.0,200.0,20.0,2,20,5,1125,0,10,1
6363,1.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,2.0,40.0,100.0,30.0,1,0,7,19,38,3,1
6370,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,46.0,600.0,25.0,1,15,1,1125,0,4,1
6373,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,24.0,94.0,8.0,1,9,2,1125,30,0,1
6375,1.0,0,1,0,0,0,0,0,0,0,0,0,3,10.0,1.0,45.0,500.0,30.0,1,0,6,35,19,2,1
6377,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,177.0,17.0,1,0,2,16,0,1,1
6380,0.0,0,1,0,0,0,0,0,0,0,0,0,7,20.0,2.0,95.0,300.0,85.0,4,25,2,1125,282,34,1
6398,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,155.0,800.0,60.0,1,20,3,21,178,17,1
6407,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,86.0,10.0,1,0,3,30,0,2,1
6411,2.0,0,1,0,0,0,0,0,0,0,0,0,4,10.0,1.0,65.0,250.0,36.0,2,22,4,1125,154,35,1
6414,2.0,0,0,0,0,0,0,0,0,0,0,1,3,10.0,2.0,55.0,300.0,40.0,3,20,2,1125,0,2,1
6438,2.0,0,0,0,0,0,0,0,0,0,0,1,5,15.0,2.0,80.0,300.0,40.0,4,10,7,14,0,4,1
6439,2.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,50.0,400.0,80.0,1,5,30,360,280,0,1
6442,1.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,50.0,300.0,20.0,2,0,5,1125,0,2,1
6443,1.0,0,0,0,0,0,0,0,0,0,0,1,1,10.0,1.0,25.0,300.0,20.0,1,0,3,1125,13,0,1
6453,1.0,0,0,0,0,0,0,0,0,1,0,0,12,20.0,3.0,215.0,200.0,100.0,1,14,3,1125,289,78,1
6455,0.0,0,0,0,0,0,0,0,0,0,1,0,2,10.0,1.0,50.0,200.0,20.0,1,20,2,12,0,0,1
6456,0.0,0,0,0,0,0,0,0,0,0,1,0,1,10.0,1.0,20.0,300.0,10.0,1,15,2,14,45,4,1
6459,2.0,0,0,0,0,0,0,0,0,0,1,0,15,30.0,5.0,230.0,200.0,105.0,1,15,3,1125,281,32,1
6468,1.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,34.0,100.0,25.0,1,0,1,7,0,2,1
6475,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,0.0,50.0,150.0,20.0,1,0,2,20,0,3,1
6478,2.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,40.0,200.0,30.0,1,0,3,1125,92,0,1
6479,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,49.0,100.0,15.0,1,10,2,1125,188,0,1
6483,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,35.0,250.0,10.0,1,10,2,20,355,22,1
6485,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,68.0,300.0,50.0,1,20,2,31,6,9,1
6486,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,30.0,400.0,5.0,1,5,2,1125,63,1,1
6488,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,80.0,500.0,25.0,1,0,10,15,14,10,1
6492,0.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,50.0,200.0,15.0,1,20,3,1125,0,4,1
6496,1.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,25.0,100.0,15.0,1,0,3,1125,0,3,1
6507,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,33.0,100.0,50.0,1,0,3,14,74,0,1
6515,2.0,0,1,0,0,0,0,0,0,0,0,0,5,10.0,2.0,59.0,300.0,35.0,2,20,1,30,92,102,1
6519,2.0,0,0,1,0,0,0,0,0,0,0,0,6,20.0,4.0,139.0,350.0,50.0,1,0,2,7,0,1,1
6521,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,200.0,30.0,1,15,2,1125,250,3,1
6522,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,100.0,15.0,1,15,1,1125,0,14,1
6523,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,150.0,30.0,2,20,3,14,155,13,1
6529,1.0,0,0,1,0,0,0,0,0,0,0,0,3,10.0,1.0,85.0,150.0,20.0,4,10,7,365,54,77,1
6531,1.0,0,0,1,0,0,0,0,0,0,0,0,4,10.0,2.0,70.0,400.0,50.0,1,0,14,22,24,3,1
6532,1.0,1,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,30.0,0.0,5.0,1,12,1,1125,229,0,1
6533,2.0,1,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,75.0,150.0,50.0,1,30,2,30,349,24,1
6535,0.0,1,0,0,0,0,0,0,0,0,0,0,2,5.0,1.0,46.0,80.0,15.0,1,15,5,1125,189,13,1
6548,2.0,0,0,0,0,0,0,0,0,0,0,0,4,10.0,1.0,55.0,90.0,30.0,2,15,1,1125,285,142,1
6569,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,39.0,400.0,10.0,1,20,1,1125,363,0,1
6571,1.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,2.0,108.0,200.0,40.0,4,0,4,14,80,5,1
6573,1.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,29.0,500.0,5.0,1,0,5,60,0,16,1
6574,2.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,1.0,40.0,300.0,15.0,2,13,1,1125,33,8,1
6576,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,53.0,200.0,20.0,1,5,2,1125,164,3,1
6578,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,29.0,100.0,5.0,1,0,1,1125,0,11,1
6579,2.0,0,0,0,0,0,0,0,0,1,0,0,5,10.0,3.0,99.0,250.0,50.0,4,25,10,1125,62,1,1
6608,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,35.0,300.0,20.0,1,0,3,1125,0,2,1
6612,1.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,2.0,52.0,300.0,30.0,1,0,1,1125,0,2,1
6630,2.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,0.0,70.0,150.0,35.0,1,0,2,1125,338,25,1
6635,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,24.0,0.0,10.0,1,5,2,1125,55,0,1
6645,1.0,0,1,0,0,0,0,0,0,0,0,0,4,10.0,3.0,75.0,200.0,40.0,1,0,2,14,7,5,1
6664,0.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,45.0,0.0,0.0,1,15,1,1125,75,0,1
6665,0.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,0.0,94.0,200.0,25.0,1,10,1,1125,331,18,1
6666,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,39.0,100.0,40.0,1,25,1,365,290,55,1
6674,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,0.0,59.0,300.0,20.0,3,12,2,31,151,0,1
6676,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,90.0,100.0,40.0,1,0,20,1000,365,0,1
6677,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,70.0,200.0,25.0,1,0,3,1125,0,1,1
6685,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,55.0,100.0,36.0,1,0,6,1125,207,19,1
6693,2.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,1.0,85.0,200.0,40.0,1,0,2,9,0,2,1
6694,0.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,42.0,100.0,36.0,2,0,1,1125,0,1,1
6706,2.0,0,0,0,0,0,0,0,1,0,0,0,1,10.0,1.0,32.0,300.0,15.0,1,15,3,150,63,19,1
6707,2.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,135.0,500.0,50.0,2,30,4,60,349,4,1
6709,2.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,2.0,140.0,250.0,50.0,2,15,3,1125,221,77,1
6711,1.0,0,0,0,0,0,0,0,1,0,0,0,6,10.0,3.0,120.0,250.0,80.0,3,20,1,60,0,9,1
6713,2.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,39.0,200.0,30.0,1,10,8,30,0,0,1
6729,2.0,0,1,0,0,0,0,0,0,0,0,0,6,10.0,2.0,105.0,250.0,25.0,4,18,3,1125,271,45,1
6730,2.0,0,1,0,0,0,0,0,0,0,0,0,5,10.0,1.0,51.0,202.0,25.0,1,16,1,1125,142,63,1
6744,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,64.0,100.0,20.0,1,10,2,365,257,247,1
6746,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,60.0,500.0,15.0,1,0,2,300,310,8,1
6747,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,55.0,200.0,15.0,2,10,1,1125,0,2,1
6751,2.0,0,0,0,1,0,0,0,0,0,0,0,7,10.0,2.0,110.0,150.0,40.0,2,27,2,1125,349,28,1
6752,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,1.0,105.0,150.0,35.0,2,10,4,1125,54,25,1
6758,2.0,0,0,0,0,0,1,0,0,0,0,0,11,30.0,5.0,359.0,300.0,60.0,8,25,3,5,141,11,1
6762,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,24.0,200.0,10.0,1,6,1,1125,0,2,1
6764,2.0,0,1,0,0,0,0,0,0,0,0,0,4,10.0,1.0,60.0,500.0,60.0,1,0,14,120,296,1,1
6773,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,0.0,49.0,250.0,50.0,1,0,2,1125,228,3,1
6780,0.0,0,0,0,0,0,0,0,0,0,0,1,4,10.0,3.0,50.0,150.0,45.0,2,5,3,1125,7,4,1
6782,0.0,0,0,0,0,0,0,0,0,0,0,1,4,10.0,1.0,27.0,150.0,15.0,1,10,3,1125,0,8,1
6789,1.0,0,0,0,0,0,0,0,0,0,0,1,2,10.0,1.0,80.0,150.0,35.0,2,40,2,7,337,4,1
6793,1.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,29.0,100.0,10.0,1,10,1,65,252,41,1
6797,1.0,0,0,0,0,0,0,0,0,0,0,1,4,10.0,2.0,50.0,100.0,20.0,2,10,3,1125,0,7,1
6807,2.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,39.0,300.0,50.0,1,0,2,38,0,0,1
6821,1.0,0,0,0,0,0,1,0,0,0,0,0,4,15.0,2.0,59.0,500.0,30.0,2,10,3,1125,7,13,1
6822,0.0,0,0,0,0,0,1,0,0,0,0,0,2,15.0,1.0,33.0,100.0,5.0,1,0,2,8,42,4,1
6823,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,35.0,100.0,15.0,1,8,3,30,0,21,1
6831,2.0,0,0,0,0,0,0,0,0,1,0,0,5,10.0,2.0,100.0,300.0,40.0,3,15,4,1125,128,95,1
6834,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,20.0,500.0,15.0,1,10,3,1125,0,2,1
6840,0.0,0,0,0,0,0,0,0,0,0,1,0,2,10.0,1.0,58.0,250.0,15.0,1,0,2,14,178,0,1
6844,1.0,0,1,0,0,0,0,0,0,0,0,0,4,15.0,2.0,101.0,300.0,30.0,1,0,2,28,249,6,1
6852,2.0,0,1,0,0,0,0,0,0,0,0,0,1,10.0,1.0,21.0,250.0,35.0,1,10,2,300,228,11,1
6859,2.0,1,0,0,0,0,0,0,0,0,0,0,1,15.0,1.0,25.0,100.0,15.0,1,0,2,1125,29,7,1
6860,0.0,1,0,0,0,0,0,0,0,0,0,0,4,10.0,2.0,200.0,88.0,30.0,2,0,1,1125,0,1,1
6861,0.0,1,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,68.0,100.0,15.0,1,0,2,9,48,1,1
6862,2.0,1,0,0,0,0,0,0,0,0,0,0,6,10.0,0.0,35.0,500.0,40.0,3,5,14,1125,337,26,1
6868,0.0,0,1,0,0,0,0,0,0,0,0,0,6,15.0,2.0,160.0,300.0,50.0,4,30,2,30,125,3,1
6875,2.0,0,0,0,0,0,0,0,0,1,0,0,4,10.0,1.0,44.0,100.0,20.0,1,15,3,99,344,4,1
6884,1.0,0,0,0,0,0,0,0,0,1,0,0,4,10.0,1.0,75.0,200.0,20.0,2,20,2,1125,0,16,1
6889,1.0,0,0,0,0,0,0,0,0,1,0,0,4,15.0,2.0,55.0,900.0,180.0,1,0,59,1125,218,0,1
6893,2.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,2.0,120.0,500.0,50.0,2,25,4,6,0,2,1
6894,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,1.0,110.0,700.0,50.0,2,25,2,8,135,11,1
6895,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,30.0,100.0,10.0,1,10,3,23,182,23,1
6898,1.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,2.0,95.0,100.0,40.0,2,20,3,1125,228,20,1
6900,2.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,60.0,600.0,18.0,1,0,4,1125,0,2,1
6905,0.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,1.0,50.0,300.0,35.0,2,20,2,1125,0,2,1
