,Neighbourhood,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Cancellation Policy
6467,Neukölln,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,59.0,1,0,3,1125,4,6,flexible
6468,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,34.0,1,0,1,7,0,2,moderate
6469,Neukölln,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,49.0,1,19,2,1125,201,2,flexible
6470,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,18.0,1,0,1,90,0,0,flexible
6471,Neukölln,Other,Entire home/apt,2,1.0,0.0,1.0,Real Bed,65.0,1,0,3,1125,40,11,moderate
6473,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,32.0,1,10,1,1125,236,5,moderate
6474,Neukölln,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,14.0,1,0,3,1125,0,0,flexible
6475,Neukölln,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,50.0,1,0,2,20,0,3,strict
6476,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,32.0,1,10,1,8,151,0,flexible
6478,Neukölln,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,40.0,1,0,3,1125,92,0,strict
6479,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,49.0,1,10,2,1125,188,0,moderate
6480,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,41.0,2,0,2,1125,0,6,strict
6481,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,45.0,1,0,1,1125,0,0,flexible
6483,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,10,2,20,355,22,moderate
6485,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,68.0,1,20,2,31,6,9,moderate
6486,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,5,2,1125,63,1,moderate
6487,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,17.0,1,0,1,1125,0,0,flexible
6488,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,80.0,1,0,10,15,14,10,strict
6490,Neukölln,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,29.0,1,12,3,7,36,12,flexible
6491,Neukölln,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,55.0,1,0,4,1125,1,6,strict
6492,Neukölln,Condominium,Entire home/apt,3,1.0,1.0,2.0,Real Bed,50.0,1,20,3,1125,0,4,flexible
6495,Neukölln,House,Private room,2,1.0,1.0,1.0,Real Bed,31.0,1,10,2,11,166,3,flexible
6496,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Couch,25.0,1,0,3,1125,0,3,moderate
6498,Neukölln,Condominium,Private room,3,1.0,1.0,2.0,Real Bed,26.0,1,7,1,7,127,0,flexible
6504,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,39.0,1,0,100,1125,0,5,strict
6505,Friedrichshain,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,59.0,1,0,4,1125,30,0,flexible
6507,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,33.0,1,0,3,14,74,0,flexible
6508,Friedrichshain,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,50.0,1,0,1,1125,0,5,flexible
6509,Friedrichshain,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,125.0,1,0,1,1125,32,2,moderate
6510,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,2,0,2,1125,8,5,moderate
6511,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,55.0,1,0,5,1125,358,0,strict
6513,Friedrichshain,Apartment,Private room,1,1.0,1.0,2.0,Real Bed,18.0,1,0,2,1125,0,0,flexible
6514,Friedrichshain,Bed & Breakfast,Private room,1,0.0,1.0,1.0,Real Bed,45.0,1,0,1,365,360,1,moderate
6515,Friedrichshain,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,59.0,2,20,1,30,92,102,strict
6519,Kreuzberg,Apartment,Entire home/apt,6,2.0,4.0,4.0,Real Bed,139.0,1,0,2,7,0,1,strict
6520,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,59.0,2,0,2,1125,90,6,flexible
6521,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,15,2,1125,250,3,strict
6522,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,15,1,1125,0,14,strict
6523,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,50.0,2,20,3,14,155,13,strict
6524,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,0,7,1125,0,1,flexible
6526,Kreuzberg,Condominium,Entire home/apt,3,2.0,2.0,2.0,Real Bed,125.0,1,0,7,1125,67,3,moderate
6527,Kreuzberg,Apartment,Private room,1,0.5,1.0,1.0,Real Bed,30.0,1,0,2,6,38,4,flexible
6528,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,55.0,2,15,2,14,128,1,strict
6529,Kreuzberg,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,85.0,4,10,7,365,54,77,moderate
6530,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,50.0,1,0,4,17,0,1,flexible
6531,Kreuzberg,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,70.0,1,0,14,22,24,3,moderate
6532,Charlottenburg,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,12,1,1125,229,0,moderate
6533,Charlottenburg,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,75.0,1,30,2,30,349,24,strict
6534,Charlottenburg,Apartment,Entire home/apt,8,1.0,2.0,1.0,Real Bed,149.0,2,34,1,100,363,19,strict
6535,Charlottenburg,Apartment,Private room,2,0.5,1.0,1.0,Pull-out Sofa,46.0,1,15,5,1125,189,13,flexible
6537,Wilmersdorf,Apartment,Entire home/apt,1,1.0,1.0,2.0,Real Bed,75.0,1,0,180,720,112,2,strict
6538,Wilmersdorf,Apartment,Entire home/apt,1,1.0,1.0,2.0,Real Bed,75.0,1,0,180,720,270,2,strict
6541,Wilmersdorf,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,40.0,1,0,1,1125,0,6,flexible
6544,Wilmersdorf,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,250.0,1,0,7,18,0,0,strict
6547,Wilmersdorf,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,2,10,1,1125,0,3,flexible
6548,Wilmersdorf,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,55.0,2,15,1,1125,285,142,strict
6549,Wilmersdorf,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,39.0,1,0,7,1125,229,8,flexible
6550,Wilmersdorf,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,30.0,1,0,2,1125,222,6,strict
6551,Wilmersdorf,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,75.0,1,0,7,21,0,1,flexible
6552,Wilmersdorf,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,0,1,1125,0,1,flexible
6554,Steglitz,Apartment,Entire home/apt,1,1.0,2.0,1.0,Real Bed,30.0,1,0,1,1125,0,1,flexible
6556,Steglitz,Apartment,Entire home/apt,7,1.0,3.0,5.0,Real Bed,115.0,1,0,2,14,137,6,strict
6561,Zehlendorf,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,76.0,2,8,2,90,188,1,moderate
6562,Schöneberg,Apartment,Private room,5,1.0,1.0,3.0,Real Bed,40.0,1,0,6,12,0,0,flexible
6564,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,55.0,1,10,3,1125,0,7,moderate
6567,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,45.0,1,0,1,1125,360,1,flexible
6569,Neukölln,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,39.0,1,20,1,1125,363,0,flexible
6570,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,1,10,2,1125,292,16,flexible
6571,Neukölln,Apartment,Entire home/apt,4,1.0,2.0,4.0,Real Bed,108.0,4,0,4,14,80,5,moderate
6572,Neukölln,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,24.0,1,0,5,9,0,1,flexible
6573,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,29.0,1,0,5,60,0,16,moderate
6574,Neukölln,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,40.0,2,13,1,1125,33,8,strict
6575,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,32.0,1,15,2,1125,4,0,moderate
6576,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,53.0,1,5,2,1125,164,3,strict
6577,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,65.0,1,0,4,1125,9,19,flexible
6578,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,29.0,1,0,1,1125,0,11,moderate
6579,Schöneberg,Apartment,Entire home/apt,5,1.0,3.0,5.0,Real Bed,99.0,4,25,10,1125,62,1,strict
6580,Schöneberg,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,25.0,1,0,7,21,0,0,flexible
6581,Schöneberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,16.0,1,5,1,1125,0,0,flexible
6583,Schöneberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,0,1,1125,0,1,flexible
6585,Treptow,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,40.0,1,0,1,9,127,5,flexible
6587,Treptow,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,0,2,2,4,0,flexible
6603,Mitte,Apartment,Private room,2,1.0,0.0,1.0,Real Bed,30.0,1,0,2,1125,4,0,flexible
6604,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,27.0,1,0,1,7,0,1,flexible
6605,Neukölln,Apartment,Entire home/apt,2,0.5,1.0,1.0,Real Bed,40.0,1,0,1,1125,0,0,flexible
6606,Mitte,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,20.0,1,10,7,20,0,0,moderate
6607,Mitte,Apartment,Private room,3,1.0,1.0,3.0,Real Bed,41.0,1,0,1,1125,202,57,moderate
6608,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Couch,35.0,1,0,3,1125,0,2,strict
6609,Neukölln,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,48.0,1,0,2,1125,11,61,moderate
6610,Neukölln,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,80.0,2,15,3,1125,84,39,strict
6611,Neukölln,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,17.0,1,0,3,9,0,1,flexible
6612,Mitte,Apartment,Entire home/apt,3,1.0,2.0,1.0,Real Bed,52.0,1,0,1,1125,0,2,moderate
6613,Neukölln,House,Private room,6,2.0,1.0,6.0,Real Bed,55.0,1,13,3,1125,357,13,moderate
6614,Neukölln,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,41.0,2,0,6,22,75,3,strict
6615,Mitte,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,40.0,1,0,9,21,11,1,flexible
6616,Neukölln,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,24.0,1,10,2,17,0,2,flexible
6617,Neukölln,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,50.0,1,0,2,1125,16,2,flexible
6618,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,18,2,9,110,16,flexible
6619,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,25.0,1,16,6,1125,241,10,flexible
6620,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,50.0,1,10,1,1125,356,7,flexible
6621,Neukölln,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,21.0,1,10,2,3,0,1,moderate
6622,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,50.0,1,10,10,11,0,2,strict
6623,Neukölln,Condominium,Private room,2,1.5,1.0,1.0,Real Bed,32.0,1,0,3,1125,0,5,moderate
6624,Neukölln,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,75.0,1,0,4,19,0,6,moderate
6625,Neukölln,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,79.0,2,10,3,1125,0,18,moderate
6626,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,30.0,1,0,1,1125,0,0,flexible
6627,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,20.0,1,0,1,1125,0,2,flexible
6628,Neukölln,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,21.0,1,10,1,71,61,0,flexible
6629,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,16.0,1,0,3,11,0,10,strict
6630,Neukölln,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,70.0,1,0,2,1125,338,25,strict
6631,Köpenick,House,Private room,2,1.5,1.0,1.0,Real Bed,24.0,1,20,1,1125,239,58,moderate
6632,Köpenick,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,48.0,1,10,2,40,120,6,flexible
6633,Köpenick,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100.0,1,0,1,2,0,0,flexible
6635,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,24.0,1,5,2,1125,55,0,flexible
6636,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Futon,45.0,1,0,1,1125,0,0,flexible
6637,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,68.0,1,0,1,1125,0,0,flexible
6638,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Futon,25.0,1,0,1,5,0,45,flexible
6639,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,0,3,1125,56,0,flexible
6640,Neukölln,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,80.0,2,30,2,15,0,3,moderate
6643,Friedrichshain,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,68.0,2,10,2,1125,338,46,flexible
6645,Friedrichshain,Apartment,Entire home/apt,4,1.0,3.0,3.0,Real Bed,75.0,1,0,2,14,7,5,moderate
6646,Friedrichshain,Apartment,Private room,3,1.5,1.0,2.0,Real Bed,38.0,2,20,3,31,322,24,flexible
6649,Friedrichshain,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,0,1,1125,0,1,flexible
6652,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,150.0,1,0,14,30,0,0,strict
6653,Kreuzberg,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,98.0,1,0,1,1125,0,3,flexible
6654,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,45.0,1,0,7,1125,0,0,flexible
6655,Kreuzberg,Apartment,Entire home/apt,6,1.0,3.0,3.0,Real Bed,79.0,1,0,1,1125,0,0,flexible
6656,Kreuzberg,Apartment,Entire home/apt,6,1.0,0.0,3.0,Real Bed,159.0,2,20,2,1125,125,0,flexible
6657,Kreuzberg,Apartment,Entire home/apt,2,2.0,2.0,2.0,Real Bed,71.0,1,0,7,28,0,1,moderate
6658,Kreuzberg,Apartment,Private room,1,1.0,1.0,1.0,Pull-out Sofa,32.0,1,0,1,1125,0,18,flexible
6659,Kreuzberg,Apartment,Entire home/apt,3,1.0,1.0,3.0,Real Bed,45.0,2,20,1,1125,309,68,strict
6661,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,15,3,5,312,15,moderate
6662,Mitte,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,100.0,2,30,15,365,281,5,moderate
6663,Mitte,Apartment,Entire home/apt,9,1.5,3.0,5.0,Real Bed,45.0,1,40,2,1125,345,0,flexible
6664,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,45.0,1,15,1,1125,75,0,flexible
6665,Mitte,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,94.0,1,10,1,1125,331,18,flexible
6666,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,39.0,1,25,1,365,290,55,strict
6667,Mitte,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,30.0,1,0,1,1125,325,15,strict
6668,Mitte,Hostel,Shared room,4,1.0,1.0,4.0,Real Bed,33.0,1,33,1,14,349,69,strict
6670,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,39.0,1,20,2,1125,252,52,flexible
6671,Mitte,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,99.0,1,0,5,1125,0,2,strict
6674,Mitte,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,59.0,3,12,2,31,151,0,moderate
6676,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,90.0,1,0,20,1000,365,0,moderate
6677,Mitte,Other,Entire home/apt,2,1.0,1.0,2.0,Real Bed,70.0,1,0,3,1125,0,1,moderate
6678,Mitte,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,38.0,1,0,2,1125,294,40,moderate
6679,Mitte,Apartment,Entire home/apt,5,2.0,3.0,3.0,Real Bed,200.0,1,0,7,1125,226,4,strict
6680,Mitte,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,68.0,1,0,6,1125,137,9,moderate
6681,Mitte,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,75.0,2,0,3,1125,0,4,flexible
6683,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,0,1,3,0,20,flexible
6684,Mitte,Apartment,Entire home/apt,10,3.5,4.0,7.0,Real Bed,190.0,1,0,2,1125,358,0,flexible
6685,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,55.0,1,0,6,1125,207,19,moderate
6686,Mitte,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,40.0,1,0,2,1125,0,21,flexible
6715,Wilmersdorf,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,10,1,10,297,29,moderate
6716,Wilmersdorf,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,0,1,3,50,0,flexible
6717,Wilmersdorf,Apartment,Entire home/apt,2,1.0,2.0,2.0,Real Bed,40.0,1,20,7,300,0,1,strict
6724,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,23.0,1,0,2,1125,0,4,flexible
6726,Friedrichshain,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,23.0,1,0,3,30,312,49,strict
6727,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,45.0,1,10,2,14,6,5,flexible
6728,Friedrichshain,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,61.0,2,30,1,1125,0,3,flexible
6729,Friedrichshain,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,105.0,4,18,3,1125,271,45,strict
6730,Friedrichshain,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,51.0,1,16,1,1125,142,63,strict
6731,Friedrichshain,Apartment,Private room,4,1.5,1.0,2.0,Real Bed,39.0,2,15,2,21,246,7,moderate
6732,Friedrichshain,Apartment,Entire home/apt,1,1.0,0.0,2.0,Real Bed,28.0,1,22,2,1125,14,3,flexible
6733,Friedrichshain,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,48.0,1,0,1,14,0,33,moderate
6734,Friedrichshain,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,48.0,1,16,3,31,49,192,moderate
6737,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,36.0,1,0,2,1125,281,31,strict
6738,Kreuzberg,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,69.0,1,0,1,1125,0,0,flexible
6743,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,48.0,1,17,3,30,7,14,strict
6744,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,64.0,1,10,2,365,257,247,strict
6745,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,51.0,1,0,2,1125,0,3,moderate
6746,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,60.0,1,0,2,300,310,8,strict
6747,Mitte,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,55.0,2,10,1,1125,0,2,moderate
6748,Mitte,Apartment,Entire home/apt,6,3.0,3.0,3.0,Real Bed,260.0,1,0,4,1125,351,0,flexible
6750,Mitte,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,64.0,1,0,2,1125,293,14,flexible
6751,Mitte,Apartment,Entire home/apt,7,1.0,2.0,3.0,Real Bed,110.0,2,27,2,1125,349,28,strict
6752,Mitte,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,105.0,2,10,4,1125,54,25,strict
6754,Neukölln,Apartment,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,43.0,1,0,2,2,1,23,flexible
6755,Neukölln,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,35.0,1,22,1,1125,0,2,strict
6757,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,20.0,1,0,7,1125,0,1,flexible
6758,Neukölln,Apartment,Entire home/apt,11,3.0,5.0,7.0,Real Bed,359.0,8,25,3,5,141,11,strict
6760,Neukölln,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,40.0,1,7,3,1125,0,0,flexible
6761,Neukölln,Condominium,Private room,3,1.0,1.0,2.0,Real Bed,75.0,1,15,2,5,358,14,moderate
6762,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,24.0,1,6,1,1125,0,2,flexible
6763,Friedrichshain,Apartment,Private room,1,1.0,1.0,2.0,Real Bed,36.0,1,0,2,7,0,1,flexible
6764,Friedrichshain,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,60.0,1,0,14,120,296,1,strict
6765,Friedrichshain,Apartment,Private room,2,3.0,1.0,2.0,Real Bed,25.0,1,25,1,1125,115,68,strict
6766,Friedrichshain,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,20.0,1,0,1,1125,0,0,flexible
6768,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,48.0,1,0,2,1125,0,2,moderate
6769,Friedrichshain,Apartment,Private room,3,1.0,1.0,3.0,Real Bed,30.0,2,15,2,30,47,0,moderate
6770,Friedrichshain,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,40.0,1,10,2,14,0,7,flexible
6771,Friedrichshain,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,34.0,1,20,1,1125,342,27,flexible
6772,Friedrichshain,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,72.0,2,10,5,30,116,4,moderate
6773,Friedrichshain,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,49.0,1,0,2,1125,228,3,strict
6774,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,36.0,1,5,2,4,0,4,flexible
6775,Friedrichshain,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,30.0,1,0,5,21,364,0,flexible
6781,Mitte,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,100.0,2,10,3,180,187,1,strict
6791,Spandau,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,35.0,1,10,3,1125,0,0,strict
6793,Schöneberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,29.0,1,10,1,65,252,41,moderate
6803,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,55.0,1,35,3,7,7,0,flexible
6805,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,24.0,1,0,2,30,341,0,flexible
6806,Neukölln,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,33.0,1,0,2,1125,2,13,moderate
6807,Neukölln,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,39.0,1,0,2,38,0,0,strict
6814,Hellersdorf,Apartment,Shared room,1,1.0,1.0,1.0,Airbed,25.0,1,15,1,1125,0,0,flexible
6815,Hellersdorf,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,39.0,1,5,3,1125,237,8,flexible
6817,Reinickendorf,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,21.0,1,0,7,14,0,1,moderate
6818,Reinickendorf,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,50.0,1,0,1,1125,359,10,flexible
6819,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,5,3,1125,5,3,flexible
6820,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,12,1,1125,48,1,moderate
6821,Neukölln,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,59.0,2,10,3,1125,7,13,moderate
6822,Neukölln,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,33.0,1,0,2,8,42,4,flexible
6823,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Futon,35.0,1,8,3,30,0,21,strict
6824,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,29.0,1,5,2,5,358,1,moderate
6826,Neukölln,Apartment,Private room,1,1.5,0.0,1.0,Real Bed,31.0,1,13,15,1125,341,0,strict
6827,Neukölln,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,52.0,1,20,1,1125,301,13,flexible
6828,Schöneberg,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,60.0,1,0,1,1125,0,0,moderate
6829,Schöneberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,43.0,1,10,3,1125,271,45,strict
6830,Schöneberg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,37.0,1,20,2,4,363,18,moderate
6831,Schöneberg,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,100.0,3,15,4,1125,128,95,strict
6832,Schöneberg,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,59.0,1,0,3,1125,64,0,flexible
6833,Schöneberg,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,150.0,4,25,3,1125,293,32,moderate
6834,Schöneberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,20.0,1,10,3,1125,0,2,flexible
6835,Schöneberg,Apartment,Entire home/apt,5,1.0,1.0,1.0,Real Bed,65.0,2,15,1,8,10,1,strict
6836,Schöneberg,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,45.0,1,0,6,1125,79,0,flexible
6837,Schöneberg,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,35.0,1,0,3,8,0,5,moderate
6838,Tempelhof,Apartment,Private room,2,1.0,4.0,1.0,Real Bed,50.0,1,0,1,1125,0,0,flexible
6839,Tempelhof,Apartment,Entire home/apt,5,1.0,2.0,2.0,Airbed,130.0,4,30,1,1125,161,2,moderate
6840,Tempelhof,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,58.0,1,0,2,14,178,0,flexible
6841,Tempelhof,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,0,2,3,0,0,flexible
