,id,superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
38,1676923,f,Cuauhtémoc,19.41919,-99.15894,Entire loft,Entire home/apt,2,1.0,1,1748,320,333,50,3,4.91,4.89,4.83,1,1,0
39,198778,f,Cuauhtémoc,19.41554,-99.17927,Entire rental unit,Entire home/apt,3,1.0,2,800,219,191,20,2,4.61,4.74,4.61,2,2,0
40,1689161,f,Cuauhtémoc,19.41147,-99.17284,Entire rental unit,Entire home/apt,3,1.0,1,917,300,123,6,0,4.79,4.84,4.71,1,1,0
41,204887,f,Cuauhtémoc,19.4059,-99.17548,Entire rental unit,Entire home/apt,2,1.0,1,780,363,29,2,1,4.61,4.62,4.46,1,1,0
42,654106,f,Miguel Hidalgo,19.44333,-99.18497,Private room in condo,Private room,1,1.0,1,504,347,1,0,0,5.0,5.0,3.0,1,0,1
43,655422,t,Venustiano Carranza,19.41417,-99.11566,Entire home,Entire home/apt,10,3.0,6,1009,346,107,25,4,4.56,4.51,4.48,2,2,0
44,217685,t,Cuauhtémoc,19.40491,-99.17177,Entire rental unit,Entire home/apt,2,1.0,2,764,172,56,19,1,4.82,4.89,4.86,1,1,0
45,1727725,t,Álvaro Obregón,19.34923,-99.19307,Private room in bed and breakfast,Private room,2,1.0,1,1900,354,35,4,0,4.97,4.94,4.89,7,1,4
46,1736063,t,Álvaro Obregón,19.34723,-99.19396,Room in boutique hotel,Hotel room,2,1.0,1,1700,365,53,11,0,4.87,4.83,4.87,7,1,4
47,245507,t,Cuauhtémoc,19.4236,-99.16979,Entire rental unit,Entire home/apt,3,1.0,2,1031,356,354,32,2,4.84,4.89,4.82,2,2,0
48,691019,t,Cuauhtémoc,19.433843596587437,-99.14464358214542,Entire condo,Entire home/apt,6,2.0,3,1400,269,265,3,0,4.75,4.78,4.76,3,3,0
49,696031,t,Miguel Hidalgo,19.44226,-99.18406,Entire rental unit,Entire home/apt,4,1.0,2,1130,347,148,2,0,4.58,4.51,4.62,3,3,0
50,246057,t,Cuauhtémoc,19.42335,-99.16963,Entire condo,Entire home/apt,2,1.0,1,983,1,268,21,1,4.87,4.84,4.85,2,2,0
51,1768385,f,Cuauhtémoc,19.43432,-99.14581,Entire rental unit,Entire home/apt,6,2.0,4,1244,163,361,34,1,4.57,4.64,4.63,11,11,0
52,1798108,f,Cuauhtémoc,19.41638,-99.16868,Entire rental unit,Entire home/apt,2,1.0,2,1103,321,8,0,0,4.88,4.5,5.0,1,1,0
53,247543,t,Cuauhtémoc,19.43516,-99.13806,Entire rental unit,Entire home/apt,1,1.0,1,594,298,117,24,2,4.9,4.94,4.95,6,6,0
54,1826212,f,Benito Juárez,19.38089,-99.17245,Entire rental unit,Entire home/apt,4,2.0,3,1000,328,95,2,0,4.82,4.91,4.85,1,1,0
55,252618,t,Cuauhtémoc,19.41472,-99.15602,Private room in rental unit,Private room,1,1.0,2,520,365,20,1,0,4.16,4.21,4.21,4,2,2
56,256555,t,Miguel Hidalgo,19.40663,-99.18653,Entire home,Entire home/apt,14,4.5,10,3736,207,320,1,0,4.91,4.91,4.91,7,5,2
57,1850394,t,Cuauhtémoc,19.43122,-99.15562,Entire rental unit,Entire home/apt,4,2.0,2,1875,135,317,29,0,4.81,4.84,4.82,13,12,1
58,1869809,f,Benito Juárez,19.36823,-99.18607,Entire rental unit,Entire home/apt,4,1.5,4,950,328,3,0,0,5.0,5.0,5.0,1,1,0
59,696037,t,Miguel Hidalgo,19.4418,-99.18402,Entire rental unit,Entire home/apt,6,2.0,3,1469,178,39,0,0,4.57,4.82,4.71,3,3,0
60,704779,f,Cuauhtémoc,19.43103,-99.14661,Entire condo,Entire home/apt,2,1.0,1,1061,163,18,2,0,4.72,4.75,4.81,14,13,1
61,261897,f,Cuauhtémoc,19.41877,-99.17199,Entire rental unit,Entire home/apt,3,1.0,1,1103,81,354,1,0,4.77,4.87,4.81,1,1,0
62,1877286,t,Cuauhtémoc,19.42804,-99.16463,Entire rental unit,Entire home/apt,4,1.0,2,1528,83,110,4,0,4.7,4.8,4.69,26,26,0
64,728372,f,Cuauhtémoc,19.44222,-99.14461,Entire home,Entire home/apt,16,5.5,16,2377,285,133,14,2,4.76,4.75,4.77,6,3,3
65,281134,f,Cuauhtémoc,19.41108,-99.17634,Room in serviced apartment,Hotel room,3,1.0,2,3608,360,7,0,0,4.71,4.71,4.86,13,4,2
66,737328,t,Cuauhtémoc,19.43059,-99.17073,Room in serviced apartment,Hotel room,2,1.0,1,1200,363,25,2,0,4.68,4.72,4.64,11,7,0
67,287940,f,Cuauhtémoc,19.41236,-99.17533,Entire guest suite,Entire home/apt,2,1.0,1,560,328,406,25,0,4.6,4.66,4.69,12,12,0
68,741557,t,Cuauhtémoc,19.43059,-99.17073,Entire serviced apartment,Entire home/apt,2,1.0,1,1079,300,7,0,0,4.29,4.14,4.29,11,7,0
69,1898854,t,Cuauhtémoc,19.41897,-99.16112,Entire rental unit,Entire home/apt,3,1.5,1,662,30,36,28,2,4.81,4.83,4.81,1,1,0
71,1919273,t,Cuauhtémoc,19.42048,-99.16697,Private room in rental unit,Private room,2,1.0,1,450,328,87,7,0,4.77,4.9,4.79,2,0,2
72,1919310,t,Cuauhtémoc,19.42242,-99.16823,Private room in rental unit,Private room,2,1.0,1,350,262,145,3,0,4.63,4.74,4.71,2,0,2
73,1919438,t,Cuauhtémoc,19.42048,-99.15678,Entire loft,Entire home/apt,3,1.0,2,1664,238,264,34,1,4.66,4.91,4.72,1,1,0
74,760912,f,Cuauhtémoc,19.40891,-99.16083,Private room in rental unit,Private room,2,1.5,1,679,363,5,0,0,4.75,4.6,4.6,1,0,1
75,783080,f,La Magdalena Contreras,19.33009,-99.21418,Private room in home,Private room,1,1.5,1,7144,361,4,2,0,5.0,5.0,5.0,3,0,3
76,1920070,f,Tlalpan,19.24444,-99.17044,Private room in home,Private room,1,2.0,2,349,0,3,0,0,5.0,5.0,5.0,1,0,1
78,1925256,t,Álvaro Obregón,19.34943,-99.19427,Room in boutique hotel,Private room,2,1.0,1,1500,360,44,3,0,4.82,4.73,4.74,7,1,4
79,323030,f,Cuauhtémoc,19.41368,-99.17907,Entire rental unit,Entire home/apt,3,1.0,2,800,309,194,8,0,4.66,4.75,4.64,2,2,0
80,1945351,f,Tlalpan,19.28356,-99.21837,Private room in home,Private room,2,1.0,1,509,348,2,0,0,5.0,5.0,5.0,3,0,3
81,783480,f,Cuajimalpa de Morelos,19.35379,-99.28459,Private room in home,Private room,4,2.5,4,500,363,34,7,1,4.94,4.91,4.82,2,0,2
82,325812,f,Cuauhtémoc,19.43319,-99.14665,Private room in condo,Private room,1,1.0,1,424,0,106,0,0,4.78,4.79,4.78,1,0,1
83,796477,f,Cuauhtémoc,19.41824,-99.1756,Private room in rental unit,Private room,2,1.0,1,509,360,147,0,0,4.73,4.69,4.7,1,0,1
85,326296,t,Coyoacán,19.34034,-99.18345,Private room in home,Private room,2,1.5,1,375,300,215,13,3,4.81,4.82,4.85,2,0,2
86,326475,t,Cuauhtémoc,19.41444,-99.15734,Private room in condo,Private room,2,1.0,1,650,61,137,21,1,4.86,4.88,4.82,2,1,1
87,817291,f,Benito Juárez,19.38468,-99.17708,Entire condo,Entire home/apt,4,1.0,2,2021,358,77,13,0,4.87,4.89,4.78,1,1,0
89,822005,f,Miguel Hidalgo,19.40243,-99.17828,Entire loft,Entire home/apt,6,1.0,1,1164,365,55,2,1,4.36,4.57,4.22,1,1,0
90,1999474,f,Cuauhtémoc,19.42064,-99.16134,Entire rental unit,Entire home/apt,4,2.0,2,1697,208,56,0,0,4.77,4.8,4.86,1,1,0
92,2007564,f,Miguel Hidalgo,19.40137,-99.17173,Entire loft,Entire home/apt,4,1.0,2,594,55,88,0,0,4.88,4.87,4.85,1,1,0
93,2030859,t,Miguel Hidalgo,19.40692,-99.18831,Private room in home,Private room,6,2.0,5,776,229,50,0,0,4.86,4.88,4.94,7,5,2
94,824016,f,Cuauhtémoc,19.40915,-99.17321,Entire rental unit,Entire home/apt,2,1.0,1,900,269,45,0,0,4.56,4.6,4.56,6,6,0
95,826691,f,Cuauhtémoc,19.40915,-99.17321,Entire rental unit,Entire home/apt,2,1.0,1,850,269,18,0,0,4.83,4.72,4.59,6,6,0
96,826760,f,Cuauhtémoc,19.40915,-99.17321,Entire rental unit,Entire home/apt,4,1.0,4,971,270,16,0,0,4.69,4.56,4.67,6,6,0
97,362583,t,Cuauhtémoc,19.43165,-99.17132,Entire rental unit,Entire home/apt,4,2.0,2,1358,318,38,5,1,4.87,4.92,4.89,1,1,0
98,2033931,t,Miguel Hidalgo,19.42887,-99.17651,Entire condo,Entire home/apt,2,1.0,1,700,107,41,16,0,4.9,4.95,4.93,13,13,0
99,375032,f,Cuauhtémoc,19.4075,-99.17561,Private room in bed and breakfast,Private room,14,6.0,10,13500,365,53,2,0,4.7,4.58,4.49,10,3,3
100,2056514,f,Coyoacán,19.35711,-99.16049,Entire rental unit,Entire home/apt,4,1.0,3,900,350,45,0,0,4.93,4.98,4.91,3,3,0
101,2056622,f,Coyoacán,19.35585,-99.16315,Entire loft,Entire home/apt,3,1.0,2,1341,363,13,0,0,4.92,4.92,4.92,3,3,0
102,828714,f,Coyoacán,19.34183,-99.15533,Entire rental unit,Entire home/apt,4,1.0,2,764,360,27,2,0,4.78,4.96,4.88,1,1,0
103,832805,f,Cuauhtémoc,19.44262,-99.14566,Private room in home,Private room,2,1.5,1,374,290,138,13,2,4.76,4.74,4.81,6,3,3
