superhost,neighbourhood,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,days_rented,revenue
f,Coyoacán,Entire home/apt,6,4.0,5,1780.0,84,2,3.0,281,500180.0
f,Cuauhtémoc,Private room,1,1.0,2,934.0,365,0,0.0,0,0.0
t,Cuauhtémoc,Entire home/apt,4,2.5,2,1911.0,313,233,4.85,52,99372.0
f,Miguel Hidalgo,Private room,16,10.0,16,10613.0,365,0,0.0,0,0.0
f,Álvaro Obregón,Private room,1,1.0,0,500.0,361,21,5.0,4,2000.0
t,Cuauhtémoc,Entire home/apt,5,2.0,3,1443.0,347,208,4.93,18,25974.0
f,Coyoacán,Entire home/apt,2,2.0,2,1129.0,285,68,4.88,80,90320.0
t,Álvaro Obregón,Entire home/apt,2,1.0,1,1500.0,303,131,4.66,62,93000.0
f,Cuauhtémoc,Entire home/apt,4,2.5,2,15980.0,365,399,4.76,0,0.0
f,Coyoacán,Entire home/apt,4,2.0,2,1150.0,209,33,4.73,156,179400.0
f,Benito Juárez,Private room,1,1.0,1,737.0,364,20,4.8,1,737.0
f,Cuauhtémoc,Entire home/apt,8,2.0,4,2523.0,348,50,4.72,17,42891.0
f,Cuauhtémoc,Private room,1,1.0,1,693.0,337,19,4.95,28,19404.0
f,Miguel Hidalgo,Entire home/apt,4,2.0,2,1300.0,269,6,5.0,96,124800.0
t,Coyoacán,Private room,4,1.5,4,900.0,348,37,4.89,17,15300.0
t,Cuauhtémoc,Entire home/apt,2,1.0,2,898.0,96,505,4.8,269,241562.0
f,Álvaro Obregón,Private room,2,1.0,1,750.0,365,1,5.0,0,0.0
f,Benito Juárez,Entire home/apt,2,2.0,2,31386.0,365,39,4.92,0,0.0
t,Venustiano Carranza,Shared room,12,3.0,12,550.0,352,80,4.84,13,7150.0
f,Cuauhtémoc,Private room,1,1.0,1,700.0,364,18,4.83,1,700.0
f,Tlalpan,Entire home/apt,4,1.0,3,488.0,1,23,4.65,364,177632.0
t,Cuauhtémoc,Private room,2,1.0,1,589.0,169,269,4.81,196,115444.0
f,Benito Juárez,Private room,2,2.5,1,679.0,363,2,5.0,2,1358.0
f,Álvaro Obregón,Private room,1,1.0,1,750.0,365,16,4.44,0,0.0
f,Cuauhtémoc,Private room,2,1.0,1,900.0,358,0,0.0,7,6300.0
f,Miguel Hidalgo,Entire home/apt,2,1.0,1,1006.0,306,41,4.78,59,59354.0
f,Álvaro Obregón,Private room,1,1.0,1,750.0,365,3,5.0,0,0.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,855.0,344,216,4.8,21,17955.0
f,Tlalpan,Entire home/apt,5,2.0,3,1500.0,148,31,4.52,217,325500.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,933.0,329,72,4.74,36,33588.0
f,Coyoacán,Private room,2,1.0,1,1200.0,328,82,4.9,37,44400.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,811.0,118,111,4.82,247,200317.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,884.0,3,279,4.73,362,320008.0
t,Coyoacán,Entire home/apt,4,1.5,2,2304.0,324,109,4.98,41,94464.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,3271.0,350,204,4.92,15,49065.0
