superhost,neighbourhood,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,days_rented,revenue
t,Cuauhtémoc,Private room,2,2.0,1,295.0,358,12,4.83,7,2065.0
t,Coyoacán,Private room,2,1.0,1,550.0,318,118,4.76,47,25850.0
f,Cuajimalpa de Morelos,Entire home/apt,2,1.0,1,900.0,363,8,5.0,2,1800.0
f,Coyoacán,Private room,2,1.0,2,898.0,347,0,0.0,18,16164.0
f,Miguel Hidalgo,Entire home/apt,2,1.0,1,781.0,361,211,4.75,4,3124.0
t,Coyoacán,Entire home/apt,4,2.0,3,1680.0,86,51,4.76,279,468720.0
t,Cuauhtémoc,Entire home/apt,2,1.5,1,2330.0,257,122,4.97,108,251640.0
t,Miguel Hidalgo,Entire home/apt,4,1.0,2,1371.0,359,67,4.9,6,8226.0
f,Miguel Hidalgo,Private room,2,3.5,2,588.0,362,63,4.56,3,1764.0
f,Benito Juárez,Entire home/apt,6,1.0,3,26000.0,0,0,0.0,365,9490000.0
f,Álvaro Obregón,Private room,2,1.0,1,345.0,365,39,4.49,0,0.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,764.0,0,53,4.77,365,278860.0
f,Cuauhtémoc,Entire home/apt,6,1.0,2,1000.0,0,33,4.97,365,365000.0
f,Miguel Hidalgo,Private room,4,1.0,2,624.0,361,82,4.7,4,2496.0
f,Cuauhtémoc,Entire home/apt,3,1.0,2,1850.0,364,7,4.86,1,1850.0
t,Álvaro Obregón,Private room,1,2.0,1,350.0,361,7,4.57,4,1400.0
t,Cuauhtémoc,Entire home/apt,5,1.0,3,836.0,0,284,4.86,365,305140.0
f,Venustiano Carranza,Private room,4,1.0,1,237.0,349,128,4.73,16,3792.0
f,Cuauhtémoc,Entire home/apt,5,1.0,3,799.0,318,405,4.76,47,37553.0
f,Cuauhtémoc,Entire home/apt,14,3.5,7,3952.0,1,221,4.74,364,1438528.0
f,Cuauhtémoc,Entire home/apt,5,1.5,2,1101.0,358,220,4.73,7,7707.0
f,Tlalpan,Entire home/apt,1,1.0,1,500.0,0,2,3.0,365,182500.0
f,Coyoacán,Entire home/apt,2,1.0,2,458.0,338,0,0.0,27,12366.0
f,Miguel Hidalgo,Entire home/apt,10,2.5,5,2671.0,119,8,4.0,246,657066.0
f,Miguel Hidalgo,Private room,3,1.0,2,685.0,1,82,4.6,364,249340.0
f,Coyoacán,Entire home/apt,2,1.0,1,425.0,362,0,0.0,3,1275.0
f,Cuauhtémoc,Entire home/apt,3,1.0,2,714.0,1,199,4.73,364,259896.0
f,Tlalpan,Entire home/apt,16,4.5,17,2250.0,0,17,4.82,365,821250.0
f,Miguel Hidalgo,Private room,2,1.0,1,456.0,2,61,4.54,363,165528.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,1,800.0,349,199,4.77,16,12800.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,693.0,293,40,4.78,72,49896.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,730.0,358,150,4.85,7,5110.0
f,Xochimilco,Entire home/apt,4,1.0,2,586.0,354,76,4.82,11,6446.0
f,Álvaro Obregón,Entire home/apt,2,1.0,2,1000.0,359,3,3.33,6,6000.0
f,Miguel Hidalgo,Entire home/apt,4,2.0,2,6000.0,364,3,5.0,1,6000.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,920.0,177,44,4.91,188,172960.0
f,Miguel Hidalgo,Entire home/apt,4,2.0,2,1650.0,329,11,4.91,36,59400.0
t,Benito Juárez,Entire home/apt,3,1.0,2,750.0,357,33,4.88,8,6000.0
f,Cuajimalpa de Morelos,Private room,2,1.0,2,400.0,179,20,4.65,186,74400.0
f,Benito Juárez,Private room,2,1.5,1,300.0,0,2,3.0,365,109500.0
f,Gustavo A. Madero,Entire home/apt,6,2.0,3,997.0,356,96,4.76,9,8973.0
f,Miguel Hidalgo,Private room,2,2.5,1,412.0,360,60,4.7,5,2060.0
f,Coyoacán,Private room,2,1.0,1,350.0,150,40,4.68,215,75250.0
f,Tlalpan,Private room,2,1.0,2,500.0,0,23,4.88,365,182500.0
t,Miguel Hidalgo,Entire home/apt,4,1.0,2,800.0,248,5,4.0,117,93600.0
t,Miguel Hidalgo,Entire home/apt,10,4.0,5,5160.0,145,76,4.79,220,1135200.0
t,Miguel Hidalgo,Entire home/apt,5,1.0,4,1000.0,350,51,5.0,15,15000.0
f,Benito Juárez,Entire home/apt,4,1.5,3,629.0,263,14,4.79,102,64158.0
f,Cuauhtémoc,Entire home/apt,3,1.0,1,779.0,124,129,4.82,241,187739.0
t,Benito Juárez,Entire home/apt,6,2.0,3,1377.0,255,110,4.93,110,151470.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1577.0,271,72,4.82,94,148238.0
f,Benito Juárez,Private room,1,1.0,1,280.0,360,12,4.75,5,1400.0
f,Miguel Hidalgo,Private room,6,1.0,3,949.0,0,48,4.57,365,346385.0
f,Cuauhtémoc,Entire home/apt,4,2.0,2,987.0,168,74,4.86,197,194439.0
t,Coyoacán,Entire home/apt,4,1.0,2,1200.0,177,90,4.74,188,225600.0
f,Cuauhtémoc,Hotel room,2,1.0,1,1745.0,89,0,0.0,276,481620.0
t,Miguel Hidalgo,Entire home/apt,4,1.0,2,1687.0,360,112,4.82,5,8435.0
f,Miguel Hidalgo,Private room,4,1.0,3,617.0,3,59,4.83,362,223354.0
f,Coyoacán,Private room,2,1.0,1,300.0,0,2,1.0,365,109500.0
f,Benito Juárez,Entire home/apt,3,1.0,2,890.0,0,53,4.89,365,324850.0
f,Tlalpan,Private room,1,1.0,1,610.0,363,42,4.69,2,1220.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,1,881.0,300,211,4.82,65,57265.0
t,Azcapotzalco,Entire home/apt,3,1.0,1,989.0,179,23,4.91,186,183954.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,804.0,337,236,4.74,28,22512.0
f,Tlalpan,Private room,2,1.0,1,600.0,356,60,4.73,9,5400.0
f,Cuauhtémoc,Entire home/apt,4,2.0,2,1018.0,353,10,5.0,12,12216.0
t,Benito Juárez,Entire home/apt,4,1.0,3,686.0,79,41,4.88,286,196196.0
t,Miguel Hidalgo,Entire home/apt,5,2.0,3,2986.0,291,92,4.83,74,220964.0
t,Cuauhtémoc,Private room,1,1.0,1,599.0,365,21,4.76,0,0.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,863.0,1,182,4.75,364,314132.0
t,Coyoacán,Entire home/apt,2,1.0,1,850.0,178,32,4.84,187,158950.0
f,Benito Juárez,Entire home/apt,8,2.0,4,1299.0,69,28,4.71,296,384504.0
f,Cuauhtémoc,Entire home/apt,5,1.5,4,1190.0,315,12,4.5,50,59500.0
t,Miguel Hidalgo,Entire home/apt,4,1.5,2,1400.0,161,110,4.75,204,285600.0
f,Miguel Hidalgo,Entire home/apt,6,2.5,5,3300.0,360,9,3.89,5,16500.0
t,Miguel Hidalgo,Entire home/apt,2,1.0,1,1450.0,171,14,4.86,194,281300.0
t,Cuauhtémoc,Private room,2,1.0,1,376.0,158,147,4.92,207,77832.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1006.0,333,56,4.89,32,32192.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,2078.0,306,59,4.95,59,122602.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,730.0,348,174,4.74,17,12410.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,446.0,0,17,4.82,365,162790.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,850.0,351,173,4.74,14,11900.0
f,Benito Juárez,Entire home/apt,2,1.0,1,509.0,323,303,4.77,42,21378.0
f,Benito Juárez,Entire home/apt,5,1.0,2,10000.0,66,25,4.92,299,2990000.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,850.0,361,250,4.78,4,3400.0
t,Cuauhtémoc,Entire home/apt,4,1.0,1,714.0,273,202,4.81,92,65688.0
f,Álvaro Obregón,Private room,1,1.5,0,400.0,361,35,5.0,4,1600.0
f,La Magdalena Contreras,Private room,6,1.0,2,900.0,0,0,0.0,365,328500.0
t,Miguel Hidalgo,Entire home/apt,4,1.0,2,1209.0,341,58,4.84,24,29016.0
f,Miguel Hidalgo,Entire home/apt,6,3.0,3,2244.0,317,80,4.83,48,107712.0
f,Tlalpan,Entire home/apt,4,1.0,2,2300.0,363,2,5.0,2,4600.0
f,Álvaro Obregón,Private room,2,4.0,1,300.0,331,7,4.57,34,10200.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,701.0,197,86,4.79,168,117768.0
f,Cuauhtémoc,Entire home/apt,4,2.0,3,1697.0,300,75,4.91,65,110305.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,431.0,1,262,4.62,364,156884.0
t,Cuauhtémoc,Entire home/apt,3,1.0,1,1874.0,283,150,4.77,82,153668.0
t,Benito Juárez,Private room,2,1.0,1,255.0,299,16,4.81,66,16830.0
f,Miguel Hidalgo,Private room,1,1.0,1,400.0,0,175,4.68,365,146000.0
f,Benito Juárez,Entire home/apt,5,2.0,3,1687.0,110,38,4.63,255,430185.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,479.0,325,227,4.63,40,19160.0
f,Miguel Hidalgo,Private room,1,2.5,1,340.0,361,85,4.66,4,1360.0
f,Miguel Hidalgo,Entire home/apt,6,2.5,3,3734.0,265,25,5.0,100,373400.0
t,Cuauhtémoc,Entire home/apt,6,2.0,3,1081.0,1,344,4.91,364,393484.0
t,Miguel Hidalgo,Entire home/apt,3,1.0,2,676.0,171,55,4.75,194,131144.0
f,Miguel Hidalgo,Private room,2,2.5,1,412.0,365,59,4.64,0,0.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,672.0,118,140,4.6,247,165984.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,826.0,52,172,4.77,313,258538.0
f,Xochimilco,Entire home/apt,6,1.0,3,800.0,360,5,2.4,5,4000.0
t,Azcapotzalco,Entire home/apt,4,1.0,3,656.0,0,206,4.76,365,239440.0
f,Cuauhtémoc,Entire home/apt,6,2.0,3,1037.0,138,284,4.71,227,235399.0
t,Cuauhtémoc,Entire home/apt,6,2.0,2,960.0,303,25,4.84,62,59520.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,734.0,163,50,4.94,202,148268.0
t,Tlalpan,Entire home/apt,6,2.5,4,859.0,364,9,5.0,1,859.0
f,Gustavo A. Madero,Private room,2,1.5,1,550.0,362,26,4.77,3,1650.0
f,Gustavo A. Madero,Entire home/apt,4,1.0,2,750.0,253,101,4.59,112,84000.0
t,Cuauhtémoc,Entire home/apt,4,1.0,3,1324.0,268,134,4.9,97,128428.0
f,Iztapalapa,Private room,3,1.0,2,361.0,0,6,5.0,365,131765.0
f,Milpa Alta,Private room,2,1.0,1,304.0,0,0,0.0,365,110960.0
f,Benito Juárez,Private room,2,1.0,1,350.0,75,38,4.74,290,101500.0
f,Coyoacán,Private room,1,1.0,1,3000.0,0,0,0.0,365,1095000.0
f,Miguel Hidalgo,Private room,2,1.0,1,489.0,70,26,4.96,295,144255.0
f,Miguel Hidalgo,Entire home/apt,6,1.0,3,1535.0,142,94,4.55,223,342305.0
f,Gustavo A. Madero,Private room,2,1.0,1,310.0,361,3,5.0,4,1240.0
f,Miguel Hidalgo,Entire home/apt,3,1.5,2,750.0,180,0,0.0,185,138750.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,140000.0,365,26,4.54,0,0.0
f,Miguel Hidalgo,Private room,2,1.0,1,531.0,365,57,4.79,0,0.0
f,Miguel Hidalgo,Private room,1,1.0,1,320.0,269,0,0.0,96,30720.0
f,Cuauhtémoc,Entire home/apt,3,2.5,2,1690.0,119,6,5.0,246,415740.0
f,Gustavo A. Madero,Private room,2,1.5,1,507.0,319,27,4.56,46,23322.0
f,Miguel Hidalgo,Private room,2,1.5,1,525.0,365,54,4.43,0,0.0
f,Miguel Hidalgo,Entire home/apt,2,1.0,1,1208.0,81,46,4.96,284,343072.0
t,Cuauhtémoc,Entire home/apt,4,1.0,2,3157.0,344,221,4.91,21,66297.0
t,Benito Juárez,Private room,1,1.0,1,275.0,339,49,5.0,26,7150.0
f,Benito Juárez,Entire home/apt,3,1.0,2,890.0,244,37,4.89,121,107690.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1166.0,51,67,4.75,314,366124.0
t,Cuauhtémoc,Entire home/apt,4,1.0,2,945.0,322,71,4.7,43,40635.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,782.0,0,129,4.63,365,285430.0
f,Cuauhtémoc,Entire home/apt,1,1.0,1,200.0,90,0,0.0,275,55000.0
f,Coyoacán,Private room,1,1.0,1,200.0,0,0,0.0,365,73000.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,778.0,54,129,4.72,311,241958.0
t,Miguel Hidalgo,Entire home/apt,5,2.0,2,2652.0,1,64,4.91,364,965328.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,786.0,125,128,4.72,240,188640.0
f,Gustavo A. Madero,Private room,2,1.5,2,590.0,362,39,4.85,3,1770.0
f,Benito Juárez,Entire home/apt,4,1.0,2,830.0,362,39,4.56,3,2490.0
f,Venustiano Carranza,Entire home/apt,6,2.0,2,800.0,321,12,5.0,44,35200.0
f,Cuauhtémoc,Private room,2,1.0,1,7054.0,55,1,5.0,310,2186740.0
f,Cuauhtémoc,Private room,3,1.0,2,7154.0,16,2,5.0,349,2496746.0
f,Benito Juárez,Private room,1,1.5,1,640.0,174,0,0.0,191,122240.0
f,Xochimilco,Private room,2,1.0,1,848.0,178,0,0.0,187,158576.0
f,Gustavo A. Madero,Private room,2,1.5,1,550.0,354,78,4.76,11,6050.0
f,Coyoacán,Private room,4,2.0,1,2400.0,0,0,0.0,365,876000.0
t,Benito Juárez,Entire home/apt,3,1.5,2,1186.0,257,32,5.0,108,128088.0
t,Cuauhtémoc,Entire home/apt,6,2.0,3,2499.0,145,16,4.69,220,549780.0
t,Cuauhtémoc,Entire home/apt,2,2.0,1,2357.0,345,286,4.85,20,47140.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,621.0,139,297,4.81,226,140346.0
f,Cuajimalpa de Morelos,Entire home/apt,2,1.5,1,1800.0,364,0,0.0,1,1800.0
f,Cuauhtémoc,Private room,1,1.0,1,600.0,279,1,5.0,86,51600.0
f,Miguel Hidalgo,Entire home/apt,3,2.5,3,1000.0,0,0,0.0,365,365000.0
f,Miguel Hidalgo,Entire home/apt,4,2.0,3,970.0,356,0,0.0,9,8730.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,923.0,356,108,4.67,9,8307.0
f,Miguel Hidalgo,Entire home/apt,2,1.0,1,851.0,0,0,0.0,365,310615.0
f,Iztacalco,Private room,2,1.0,1,350.0,338,0,0.0,27,9450.0
f,Benito Juárez,Entire home/apt,5,1.0,3,750.0,34,13,4.38,331,248250.0
f,Cuauhtémoc,Private room,1,1.5,1,255.0,349,16,4.75,16,4080.0
t,Benito Juárez,Entire home/apt,2,1.0,1,503.0,68,114,4.82,297,149391.0
f,Benito Juárez,Entire home/apt,2,1.0,1,800.0,83,31,4.9,282,225600.0
f,Miguel Hidalgo,Entire home/apt,6,3.5,4,2300.0,31,9,4.78,334,768200.0
f,Coyoacán,Private room,2,1.0,1,380.0,118,12,5.0,247,93860.0
f,Gustavo A. Madero,Private room,2,1.5,1,536.0,362,59,4.63,3,1608.0
f,Miguel Hidalgo,Entire home/apt,4,2.0,2,1100.0,0,0,0.0,365,401500.0
t,Cuauhtémoc,Entire home/apt,6,2.0,3,3683.0,35,8,4.88,330,1215390.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,1190.0,230,130,4.83,135,160650.0
f,Benito Juárez,Entire home/apt,6,2.0,4,1671.0,144,50,4.86,221,369291.0
t,Miguel Hidalgo,Entire home/apt,5,2.5,3,2277.0,342,127,4.87,23,52371.0
f,Álvaro Obregón,Entire home/apt,4,2.0,2,1119.0,142,20,4.85,223,249537.0
f,Miguel Hidalgo,Private room,3,1.0,2,548.0,360,72,4.74,5,2740.0
f,Benito Juárez,Entire home/apt,4,2.0,2,1200.0,110,7,4.71,255,306000.0
f,Coyoacán,Entire home/apt,6,3.0,6,1304.0,67,52,4.8,298,388592.0
t,Cuajimalpa de Morelos,Private room,1,1.5,1,517.0,186,27,4.74,179,92543.0
f,Álvaro Obregón,Entire home/apt,4,2.0,2,1119.0,341,12,4.33,24,26856.0
f,Álvaro Obregón,Entire home/apt,4,2.0,2,1121.0,334,16,4.81,31,34751.0
f,Álvaro Obregón,Private room,2,1.0,2,700.0,301,0,0.0,64,44800.0
f,Miguel Hidalgo,Entire home/apt,4,2.5,3,2257.0,84,16,5.0,281,634217.0
f,Cuauhtémoc,Private room,1,1.0,1,400.0,1,0,0.0,364,145600.0
f,Benito Juárez,Entire home/apt,2,1.0,1,301.0,0,53,4.72,365,109865.0
f,Coyoacán,Entire home/apt,2,1.0,2,600.0,168,20,4.85,197,118200.0
t,Cuauhtémoc,Private room,2,1.5,1,750.0,338,50,4.94,27,20250.0
f,Cuauhtémoc,Entire home/apt,8,2.0,5,2837.0,124,121,4.59,241,683717.0
t,Benito Juárez,Entire home/apt,5,2.0,2,800.0,353,86,4.71,12,9600.0
f,Miguel Hidalgo,Private room,2,3.5,1,412.0,359,119,4.71,6,2472.0
t,Benito Juárez,Entire home/apt,7,1.0,4,1801.0,338,96,4.94,27,48627.0
f,Coyoacán,Entire home/apt,2,1.0,1,1443.0,298,435,4.94,67,96681.0
f,Cuauhtémoc,Entire home/apt,13,6.5,8,6928.0,361,45,4.87,4,27712.0
f,Miguel Hidalgo,Private room,3,3.5,2,589.0,365,57,4.6,0,0.0
f,Coyoacán,Entire home/apt,6,1.5,4,2500.0,0,32,4.94,365,912500.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,1212.0,328,21,4.81,37,44844.0
f,Benito Juárez,Private room,1,1.0,1,350.0,359,35,4.91,6,2100.0
t,Cuauhtémoc,Entire home/apt,4,1.5,3,1229.0,209,50,4.86,156,191724.0
t,Tlalpan,Private room,2,1.0,2,202.0,352,121,4.75,13,2626.0
f,Miguel Hidalgo,Private room,1,1.5,1,395.0,363,21,4.67,2,790.0
f,Azcapotzalco,Entire home/apt,4,1.0,2,499.0,0,85,4.95,365,182135.0
t,Cuauhtémoc,Private room,2,1.0,2,412.0,78,119,4.87,287,118244.0
t,Cuauhtémoc,Entire home/apt,6,3.0,3,4621.0,283,84,4.75,82,378922.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1529.0,360,313,4.93,5,7645.0
t,Venustiano Carranza,Entire home/apt,4,1.0,3,431.0,2,154,4.75,363,156453.0
f,Miguel Hidalgo,Entire home/apt,8,2.0,4,2803.0,0,93,4.69,365,1023095.0
f,Iztacalco,Entire home/apt,4,2.0,2,700.0,78,30,4.97,287,200900.0
t,Miguel Hidalgo,Private room,2,1.0,1,319.0,173,285,4.87,192,61248.0
t,Benito Juárez,Entire home/apt,4,2.0,4,847.0,355,58,4.72,10,8470.0
f,Azcapotzalco,Entire home/apt,6,1.0,2,537.0,330,1,1.0,35,18795.0
f,Benito Juárez,Private room,1,1.0,1,300.0,0,0,0.0,365,109500.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1071.0,357,352,4.88,8,8568.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,1290.0,62,4,4.75,303,390870.0
f,Venustiano Carranza,Private room,3,1.0,2,391.0,63,108,4.92,302,118082.0
f,Coyoacán,Private room,2,1.0,1,849.0,0,0,0.0,365,309885.0
f,Cuajimalpa de Morelos,Entire home/apt,6,2.5,4,1998.0,328,17,5.0,37,73926.0
f,Benito Juárez,Entire home/apt,5,2.0,3,1223.0,143,64,4.92,222,271506.0
f,Cuauhtémoc,Entire home/apt,4,1.0,3,1043.0,351,30,4.7,14,14602.0
f,Miguel Hidalgo,Entire home/apt,4,1.5,2,1414.0,353,122,4.22,12,16968.0
t,Cuauhtémoc,Entire home/apt,6,3.0,3,4400.0,263,108,4.82,102,448800.0
f,Cuauhtémoc,Private room,2,1.0,1,255.0,276,16,4.31,89,22695.0
f,Coyoacán,Entire home/apt,6,2.5,3,1450.0,175,96,4.8,190,275500.0
f,Miguel Hidalgo,Private room,4,1.5,2,683.0,1,126,4.73,364,248612.0
f,Tlalpan,Entire home/apt,1,1.0,1,449.0,95,9,4.78,270,121230.0
t,Cuauhtémoc,Private room,1,1.5,1,290.0,0,2,5.0,365,105850.0
t,Álvaro Obregón,Private room,1,1.5,2,520.0,365,2,5.0,0,0.0
f,Miguel Hidalgo,Private room,2,1.5,1,452.0,354,127,4.72,11,4972.0
f,Miguel Hidalgo,Private room,2,1.5,1,412.0,360,146,4.77,5,2060.0
f,Tlalpan,Entire home/apt,8,2.5,4,2500.0,363,1,5.0,2,5000.0
f,La Magdalena Contreras,Entire home/apt,12,3.0,8,3000.0,180,2,4.5,185,555000.0
f,Cuajimalpa de Morelos,Private room,1,1.0,1,350.0,306,4,5.0,59,20650.0
f,Álvaro Obregón,Private room,2,1.0,1,400.0,358,0,0.0,7,2800.0
t,Álvaro Obregón,Private room,1,1.0,1,225.0,345,11,4.82,20,4500.0
t,Cuauhtémoc,Entire home/apt,2,1.0,2,549.0,353,19,4.74,12,6588.0
f,Miguel Hidalgo,Private room,2,1.0,1,530.0,361,70,4.6,4,2120.0
f,Benito Juárez,Entire home/apt,3,1.0,2,1229.0,0,34,4.86,365,448585.0
t,Coyoacán,Entire home/apt,2,1.5,1,2625.0,82,44,4.7,283,742875.0
t,Benito Juárez,Entire home/apt,6,2.0,3,1380.0,158,120,4.96,207,285660.0
f,Miguel Hidalgo,Private room,3,1.0,2,588.0,1,115,4.64,364,214032.0
t,Cuauhtémoc,Entire home/apt,4,1.5,3,586.0,324,255,4.68,41,24026.0
f,Cuauhtémoc,Entire home/apt,5,2.5,3,2629.0,309,175,4.74,56,147224.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,914.0,49,21,4.57,316,288824.0
f,Benito Juárez,Private room,1,1.0,1,594.0,359,7,4.57,6,3564.0
t,Cuauhtémoc,Entire home/apt,5,1.0,3,1400.0,355,46,4.83,10,14000.0
f,Coyoacán,Private room,1,1.0,1,305.0,0,18,4.61,365,111325.0
f,Cuauhtémoc,Entire home/apt,2,1.0,2,950.0,359,33,4.42,6,5700.0
t,Cuauhtémoc,Entire home/apt,4,2.5,2,3822.0,327,43,4.91,38,145236.0
t,Cuauhtémoc,Private room,2,1.0,1,1347.0,0,244,4.77,365,491655.0
t,Miguel Hidalgo,Entire home/apt,2,1.0,1,1871.0,122,348,4.79,243,454653.0
t,Cuauhtémoc,Entire home/apt,6,2.0,4,4592.0,345,88,4.9,20,91840.0
f,Miguel Hidalgo,Private room,4,1.0,2,627.0,354,70,4.61,11,6897.0
f,Álvaro Obregón,Private room,1,1.0,1,300.0,0,1,5.0,365,109500.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,779.0,349,259,4.86,16,12464.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,586.0,0,181,4.84,365,213890.0
t,Coyoacán,Entire home/apt,3,1.0,3,1157.0,206,14,4.93,159,183963.0
f,Miguel Hidalgo,Private room,4,1.0,1,650.0,180,0,0.0,185,120250.0
f,Miguel Hidalgo,Entire home/apt,4,1.0,2,971.0,172,135,4.61,193,187403.0
f,Cuauhtémoc,Private room,2,1.0,1,485.0,84,3,5.0,281,136285.0
f,Cuauhtémoc,Entire home/apt,4,1.0,3,3500.0,177,1,5.0,188,658000.0
f,Cuauhtémoc,Entire home/apt,4,2.0,3,2971.0,297,24,4.79,68,202028.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,1548.0,168,50,4.8,197,304956.0
t,Benito Juárez,Private room,1,1.5,2,300.0,0,17,4.94,365,109500.0
t,Miguel Hidalgo,Entire home/apt,3,1.0,2,2740.0,88,108,4.83,277,758980.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,1924.0,356,283,4.92,9,17316.0
f,Iztacalco,Private room,1,1.0,1,3000.0,0,0,0.0,365,1095000.0
t,Benito Juárez,Private room,1,1.0,1,316.0,361,41,4.68,4,1264.0
t,Cuauhtémoc,Entire home/apt,5,1.0,1,843.0,80,18,4.89,285,240255.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,1,1300.0,83,70,4.91,282,366600.0
f,Iztapalapa,Entire home/apt,2,1.0,2,690.0,84,37,4.78,281,193890.0
f,Miguel Hidalgo,Private room,2,1.0,1,442.0,5,38,4.68,360,159120.0
f,Cuauhtémoc,Entire home/apt,14,5.0,12,4753.0,161,54,4.35,204,969612.0
t,Cuauhtémoc,Entire home/apt,5,2.0,3,2697.0,223,161,4.93,142,382974.0
f,Tlalpan,Entire home/apt,4,1.0,2,628.0,0,6,3.5,365,229220.0
t,Cuauhtémoc,Entire home/apt,6,3.0,3,1354.0,151,112,4.89,214,289756.0
f,Cuauhtémoc,Private room,2,1.0,1,290.0,85,6,4.67,280,81200.0
f,Miguel Hidalgo,Entire home/apt,3,2.0,2,19900.0,179,0,0.0,186,3701400.0
f,Benito Juárez,Entire home/apt,4,1.0,2,985.0,54,50,4.98,311,306335.0
f,Xochimilco,Entire home/apt,6,2.5,2,990.0,365,2,5.0,0,0.0
f,Cuauhtémoc,Private room,2,1.5,2,554.0,362,159,4.81,3,1662.0
f,Tlalpan,Entire home/apt,6,2.0,4,820.0,305,128,4.67,60,49200.0
t,Coyoacán,Entire home/apt,2,1.0,2,1250.0,300,8,4.63,65,81250.0
t,Tlalpan,Entire home/apt,4,2.0,4,970.0,180,45,4.98,185,179450.0
f,Coyoacán,Hotel room,2,1.0,1,7286.0,261,42,4.74,104,757744.0
t,Gustavo A. Madero,Entire home/apt,4,1.0,4,744.0,0,18,5.0,365,271560.0
f,Coyoacán,Private room,2,1.0,1,198.0,0,1,5.0,365,72270.0
f,Miguel Hidalgo,Entire home/apt,9,2.0,4,2430.0,356,39,4.54,9,21870.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,526.0,0,135,4.73,365,191990.0
t,Tlalpan,Entire home/apt,4,2.5,3,1390.0,1,37,5.0,364,505960.0
t,Cuauhtémoc,Entire home/apt,8,2.0,4,6158.0,321,141,4.69,44,270952.0
t,Cuauhtémoc,Entire home/apt,8,2.0,4,5500.0,157,90,4.66,208,1144000.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,610.0,114,126,4.75,251,153110.0
t,Miguel Hidalgo,Entire home/apt,6,2.0,5,3654.0,359,87,4.86,6,21924.0
f,Cuauhtémoc,Private room,2,1.0,1,300.0,364,12,4.58,1,300.0
t,Cuauhtémoc,Entire home/apt,5,2.5,5,2486.0,15,127,4.93,350,870100.0
f,Miguel Hidalgo,Entire home/apt,3,1.0,2,1229.0,360,225,4.67,5,6145.0
f,Miguel Hidalgo,Private room,2,3.5,1,412.0,364,95,4.54,1,412.0
f,Cuauhtémoc,Private room,1,1.0,1,201.0,353,7,3.29,12,2412.0
f,Tlalpan,Entire home/apt,6,2.0,1,500.0,0,0,0.0,365,182500.0
f,Miguel Hidalgo,Private room,2,1.0,1,385.0,32,17,4.82,333,128205.0
f,Miguel Hidalgo,Entire home/apt,4,1.0,3,700.0,0,28,4.93,365,255500.0
f,Miguel Hidalgo,Private room,3,3.5,2,648.0,361,71,4.51,4,2592.0
t,Cuauhtémoc,Entire home/apt,8,2.0,4,4714.0,256,115,4.69,109,513826.0
f,Cuauhtémoc,Entire home/apt,8,2.0,5,4000.0,358,65,4.51,7,28000.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,646.0,334,73,4.93,31,20026.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,667.0,1,284,4.74,364,242788.0
