Neighbourhood,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Availability 365,Number of Reviews,days_rented,revenue
Mitte,Entire home/apt,1,1.0,0.0,1.0,75.0,9,0,356,26700.0
Mitte,Entire home/apt,4,1.0,2.0,2.0,119.0,0,0,365,43435.0
Mitte,Entire home/apt,3,1.0,1.0,2.0,55.0,0,18,365,20075.0
Mitte,Entire home/apt,2,1.0,0.0,1.0,54.0,272,35,93,5022.0
Kreuzberg,Private room,2,1.5,1.0,1.0,24.0,36,1,329,7896.0
Kreuzberg,Private room,2,1.0,1.0,1.0,40.0,0,10,365,14600.0
Kreuzberg,Entire home/apt,5,1.0,2.0,3.0,76.0,13,4,352,26752.0
Kreuzberg,Entire home/apt,4,1.5,2.0,2.0,96.0,0,0,365,35040.0
Mitte,Entire home/apt,4,1.0,2.0,2.0,66.0,17,0,348,22968.0
Mitte,Private room,1,1.0,1.0,1.0,80.0,0,1,365,29200.0
Mitte,Private room,2,1.0,1.0,1.0,79.0,12,44,353,27887.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,50.0,332,5,33,1650.0
Mitte,Entire home/apt,3,1.5,1.0,1.0,125.0,297,26,68,8500.0
Mitte,Entire home/apt,7,1.0,2.0,6.0,140.0,193,8,172,24080.0
Kreuzberg,Entire home/apt,2,1.0,1.0,1.0,45.0,0,1,365,16425.0
Kreuzberg,Entire home/apt,6,2.0,3.0,6.0,296.0,56,6,309,91464.0
Kreuzberg,Private room,1,1.0,1.0,1.0,30.0,0,1,365,10950.0
Kreuzberg,Private room,1,1.5,1.0,1.0,49.0,0,3,365,17885.0
Kreuzberg,Private room,4,1.0,1.0,4.0,38.0,321,32,44,1672.0
Kreuzberg,Entire home/apt,4,1.0,0.0,3.0,70.0,0,10,365,25550.0
Kreuzberg,Private room,3,1.0,1.0,1.0,40.0,7,18,358,14320.0
Kreuzberg,Entire home/apt,4,2.0,2.0,3.0,56.0,28,0,337,18872.0
Kreuzberg,Entire home/apt,2,1.0,0.0,1.0,60.0,0,2,365,21900.0
Kreuzberg,Entire home/apt,4,1.0,1.0,2.0,49.0,320,74,45,2205.0
Kreuzberg,Private room,1,1.5,1.0,1.0,18.0,37,1,328,5904.0
Kreuzberg,Private room,2,1.5,1.0,1.0,40.0,1,7,364,14560.0
Kreuzberg,Entire home/apt,2,1.0,1.0,2.0,56.0,1,33,364,20384.0
Kreuzberg,Entire home/apt,2,1.0,1.0,1.0,60.0,63,13,302,18120.0
Kreuzberg,Private room,1,1.0,1.0,1.0,100.0,0,0,365,36500.0
Kreuzberg,Entire home/apt,4,1.5,2.0,2.0,75.0,0,9,365,27375.0
Friedrichshain,Private room,4,1.0,1.0,2.0,50.0,0,1,365,18250.0
Friedrichshain,Entire home/apt,6,1.0,2.0,5.0,35.0,71,1,294,10290.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,25.0,50,2,315,7875.0
Friedrichshain,Entire home/apt,2,1.0,1.0,2.0,80.0,337,1,28,2240.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,52.0,0,2,365,18980.0
Friedrichshain,Private room,2,1.0,1.0,1.0,37.0,361,0,4,148.0
Kreuzberg,Entire home/apt,2,1.0,1.0,1.0,50.0,0,0,365,18250.0
Kreuzberg,Entire home/apt,4,1.0,3.0,3.0,90.0,5,20,360,32400.0
Kreuzberg,Entire home/apt,2,1.0,1.0,1.0,65.0,1,41,364,23660.0
Kreuzberg,Private room,1,1.0,1.0,1.0,15.0,0,1,365,5475.0
Mitte,Entire home/apt,5,1.0,2.0,4.0,60.0,6,104,359,21540.0
Mitte,Entire home/apt,3,1.0,1.0,1.0,100.0,18,2,347,34700.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,65.0,249,8,116,7540.0
Mitte,Entire home/apt,2,1.5,1.0,1.0,63.0,137,27,228,14364.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,52.0,2,21,363,18876.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,80.0,307,14,58,4640.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,59.0,161,17,204,12036.0
Mitte,Entire home/apt,7,2.0,3.0,3.0,250.0,0,1,365,91250.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,70.0,340,5,25,1750.0
Mitte,Entire home/apt,4,1.0,2.0,2.0,121.0,0,13,365,44165.0
Mitte,Private room,3,1.5,1.0,1.0,50.0,180,1,185,9250.0
Mitte,Private room,2,1.0,1.0,2.0,35.0,0,1,365,12775.0
Mitte,Private room,3,1.0,1.0,1.0,45.0,3,11,362,16290.0
Mitte,Entire home/apt,6,2.0,3.0,3.0,490.0,354,41,11,5390.0
Mitte,Entire home/apt,3,1.0,1.0,2.0,90.0,36,3,329,29610.0
Mitte,Entire home/apt,7,1.0,2.0,3.0,119.0,299,27,66,7854.0
Mitte,Private room,2,1.0,1.0,1.0,90.0,0,1,365,32850.0
Mitte,Entire home/apt,2,1.0,0.0,1.0,64.0,305,26,60,3840.0
Mitte,Entire home/apt,2,1.0,0.0,1.0,64.0,259,31,106,6784.0
Mitte,Private room,2,1.0,1.0,1.0,53.0,220,59,145,7685.0
Mitte,Entire home/apt,3,1.0,1.0,2.0,110.0,354,7,11,1210.0
Mitte,Entire home/apt,6,1.0,1.0,2.0,84.0,258,120,107,8988.0
Mitte,Entire home/apt,3,1.0,1.0,1.0,50.0,0,1,365,18250.0
Mitte,Entire home/apt,2,1.0,0.0,1.0,35.0,127,4,238,8330.0
Mitte,Entire home/apt,3,1.5,2.0,2.0,140.0,360,13,5,700.0
Mitte,Entire home/apt,2,1.0,0.0,1.0,45.0,20,2,345,15525.0
Mitte,Private room,2,1.0,0.0,1.0,50.0,0,0,365,18250.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,100.0,0,1,365,36500.0
Mitte,Entire home/apt,5,2.0,2.0,3.0,97.0,212,17,153,14841.0
Mitte,Private room,2,1.0,1.0,1.0,40.0,326,1,39,1560.0
Mitte,Private room,2,1.0,1.0,1.0,43.0,364,0,1,43.0
Mitte,Entire home/apt,2,1.0,1.0,1.0,200.0,155,1,210,42000.0
Mitte,Entire home/apt,3,1.0,2.0,2.0,99.0,329,58,36,3564.0
Kreuzberg,Private room,2,1.0,1.0,1.0,22.0,0,1,365,8030.0
Kreuzberg,Entire home/apt,4,1.0,1.0,2.0,70.0,0,0,365,25550.0
Kreuzberg,Private room,2,1.0,1.0,2.0,38.0,361,2,4,152.0
Kreuzberg,Entire home/apt,2,1.0,0.0,2.0,48.0,201,71,164,7872.0
Kreuzberg,Entire home/apt,3,1.0,1.0,2.0,100.0,0,1,365,36500.0
Kreuzberg,Private room,2,1.0,1.0,1.0,28.0,0,5,365,10220.0
Kreuzberg,Private room,2,1.5,1.0,1.0,34.0,5,6,360,12240.0
Kreuzberg,Private room,2,1.0,1.0,1.0,35.0,0,1,365,12775.0
Kreuzberg,Entire home/apt,4,1.0,2.0,1.0,95.0,127,10,238,22610.0
Kreuzberg,Entire home/apt,4,1.0,1.0,2.0,119.0,0,16,365,43435.0
Kreuzberg,Private room,3,1.0,1.0,3.0,75.0,0,0,365,27375.0
Kreuzberg,Entire home/apt,2,1.0,1.0,1.0,45.0,0,0,365,16425.0
Kreuzberg,Private room,2,1.0,1.0,1.0,49.0,272,107,93,4557.0
Kreuzberg,Entire home/apt,2,1.0,1.0,1.0,26.0,0,0,365,9490.0
Kreuzberg,Private room,2,1.0,1.0,1.0,29.0,1,8,364,10556.0
Kreuzberg,Private room,2,1.0,1.0,1.0,35.0,83,1,282,9870.0
Kreuzberg,Entire home/apt,6,2.0,3.0,6.0,200.0,38,72,327,65400.0
Kreuzberg,Entire home/apt,2,1.0,0.0,1.0,64.0,0,1,365,23360.0
Kreuzberg,Private room,2,1.0,1.0,1.0,40.0,278,34,87,3480.0
Kreuzberg,Private room,1,1.0,1.0,1.0,28.0,73,37,292,8176.0
Kreuzberg,Private room,2,0.0,1.0,1.0,49.0,87,15,278,13622.0
Kreuzberg,Entire home/apt,2,1.0,2.0,2.0,35.0,4,34,361,12635.0
Kreuzberg,Entire home/apt,5,1.0,2.0,5.0,65.0,243,30,122,7930.0
Kreuzberg,Entire home/apt,2,1.0,1.0,1.0,54.0,275,18,90,4860.0
Kreuzberg,Private room,2,1.0,1.0,1.0,22.0,200,239,165,3630.0
Kreuzberg,Private room,2,2.0,1.0,1.0,35.0,0,6,365,12775.0
Kreuzberg,Entire home/apt,4,1.0,2.0,3.0,95.0,0,2,365,34675.0
Kreuzberg,Private room,1,1.0,1.0,1.0,25.0,62,23,303,7575.0
Kreuzberg,Private room,2,1.0,1.0,1.0,42.0,156,1,209,8778.0
Kreuzberg,Private room,2,1.0,1.0,1.0,45.0,5,35,360,16200.0
Kreuzberg,Private room,2,1.5,1.0,1.0,20.0,0,4,365,7300.0
